S.No.,Order Date,Order Quantity,Sales
482,07/09/2012,5,325.43
483,03/09/2009,42,843.53
484,12/30/2011,23,6641.14
485,12/30/2011,21,10469.03
486,12/30/2011,18,835.55
487,3/29/2009,18,215.93
488,2/13/2011,30,140.24
489,1/28/2011,10,266.94
490,1/28/2011,26,113.85
491,09/08/2012,7,83.81
492,09/08/2012,36,218.81
493,5/18/2009,42,9502.736
494,7/29/2012,32,5686.25
495,7/29/2012,16,797.24
496,4/22/2012,20,963.3
497,7/16/2012,34,94.56
498,9/22/2012,45,712.04
499,5/20/2010,36,283.21
500,5/20/2010,18,45.8
501,12/02/2009,42,557.85
502,06/01/2010,37,4261.94
503,9/25/2010,38,2071.3395
504,11/19/2012,14,222.91
505,12/14/2010,12,1634.98
506,10/25/2012,50,204.11
507,6/17/2010,18,1038.4
508,6/17/2010,1,305.82
509,6/29/2012,46,7441.29
510,02/01/2009,17,55.45
511,8/25/2011,37,4896.93
512,6/20/2009,42,433.68
513,05/03/2010,24,717.29
514,04/07/2009,36,1423.35
515,09/02/2011,30,932.892
516,4/14/2011,36,5977.63
517,2/13/2011,6,906.02
518,2/13/2011,43,170.88
519,7/30/2011,40,434.62
520,08/10/2010,38,871.25
521,08/10/2010,46,537.87
522,04/06/2009,50,608.21
523,10/26/2010,17,285.84
524,10/26/2010,40,12450.48
525,5/26/2012,39,2083.0525
526,5/26/2012,49,233.28
527,5/26/2012,1,47.01
528,09/10/2012,32,3245.73
529,09/10/2012,27,63.02
530,09/10/2012,9,6420.87
531,09/10/2012,25,2407.693
532,3/16/2011,31,109.49
533,6/18/2011,31,283.17
534,01/11/2011,6,17
535,01/11/2011,15,67.41
536,01/11/2011,19,130.67
537,01/11/2011,21,77.62
538,03/05/2009,45,440.39
539,03/05/2009,27,96.99
540,12/14/2009,46,590.43
541,12/14/2009,8,216.33
542,02/02/2009,38,3152.75
543,02/02/2009,42,3609.88
544,8/26/2009,26,188.05
545,03/06/2012,42,1681.6
546,11/19/2009,17,5203.9
547,11/19/2009,33,744.12
548,7/24/2010,48,293.3
549,08/04/2010,9,50.93
550,08/04/2010,44,792.8
551,08/04/2010,14,782.4505
552,03/07/2011,44,226.18
553,10/20/2011,17,1856.9695
554,08/04/2009,43,241.19
555,4/28/2010,30,4177.52
556,4/28/2010,26,3351.08
557,4/22/2009,29,159.11
558,12/04/2011,44,1127.81
559,08/06/2010,27,9293.82
560,08/06/2010,27,80.79
561,9/15/2011,18,925.03
562,10/02/2009,27,566.12
563,03/01/2009,8,327.61
564,6/24/2009,16,178.4
565,6/24/2009,40,115.01
566,1/16/2011,29,181.83
567,1/20/2012,38,952.47
568,1/20/2012,3,171.9635
569,5/21/2010,5,2543.95
570,3/15/2012,3,317.95
571,3/15/2012,8,435.29
572,08/07/2011,34,937.04
573,08/07/2011,17,1616.64
574,5/21/2011,18,404.3
575,5/21/2011,43,11674.968
576,10/11/2010,24,1482.81
577,10/11/2010,23,6693.28
578,12/22/2010,10,309.3
579,07/03/2009,44,444.52
580,5/27/2009,50,742.21
581,6/20/2011,15,896.1805
582,8/22/2012,19,120.56
583,8/22/2012,46,2640.6865
584,1/26/2011,15,8662.34
585,12/03/2012,24,1689.97
586,09/06/2010,20,112.03
587,3/29/2011,6,2528.49
588,3/29/2011,42,1146.11
589,8/20/2010,16,102.5
590,12/02/2010,36,7783.36
591,12/02/2010,21,61.76
592,12/02/2010,36,1280.34
593,3/26/2011,12,76.61
594,12/19/2009,38,1483.44
595,12/19/2009,39,145.68
596,4/29/2011,45,500.48
597,10/24/2010,50,8221.2935
598,10/24/2010,7,1158.26
599,05/12/2010,9,298.52
600,05/12/2010,34,667.35
601,04/11/2010,31,3206.965
602,1/24/2009,30,6654.39
603,1/24/2009,21,4429.69
604,11/17/2010,42,239.35
605,11/17/2010,34,684.66
606,9/29/2010,28,2531.35
607,08/03/2010,15,22.45
608,6/13/2011,44,7765.13
609,05/05/2010,44,2435.32
610,05/05/2010,21,4242.76
611,8/30/2010,1,14.4
612,10/30/2012,16,92.06
613,10/30/2012,33,199.62
614,7/15/2009,40,196.5
615,7/15/2009,1,3672.89
616,7/15/2009,8,46.97
617,08/07/2012,45,20333.816
618,02/01/2009,37,1697.44
619,07/07/2012,15,572.4325
620,3/27/2009,41,322.03
621,3/27/2009,49,2470.84
622,3/27/2009,2,15.26
623,3/27/2009,39,5250.6625
624,9/23/2010,23,10791.38
625,3/28/2011,1,26.68
626,07/01/2009,27,123.46
627,12/11/2010,28,588.54
628,9/16/2009,44,284.38
629,02/04/2011,49,165.51
630,09/11/2010,29,2046.81
631,03/02/2010,10,28.81
632,03/02/2010,35,1445.6
633,03/02/2010,13,119.03
634,9/15/2009,2,34.88
635,12/30/2010,13,1272.83
636,12/30/2010,25,165.36
637,7/25/2011,9,883.37
638,12/23/2009,38,23255.61
639,10/31/2012,8,23.19
640,12/22/2009,31,639.19
641,4/14/2012,4,62.45
642,5/13/2011,42,152.55
643,5/13/2011,36,152.96
644,12/07/2011,19,7608.88
645,12/07/2011,50,1270.03
646,12/04/2010,18,101.34
647,11/24/2009,26,393.59
648,11/24/2009,14,551.18
649,11/24/2009,1,18.73
650,9/13/2011,32,294.04
651,9/13/2011,18,2022.65
652,12/03/2010,24,2289.92
653,12/18/2011,36,1773.86
654,12/18/2011,35,543.22
655,12/18/2011,18,813.9
656,08/09/2012,44,865.27
657,08/09/2012,41,429.28
658,8/24/2010,31,341.71
659,5/22/2011,46,648.26
660,5/22/2011,46,410.43
661,11/18/2012,43,9750.55
662,6/28/2012,39,835.55
663,6/28/2012,38,1799.6115
664,02/04/2009,50,1441.57
665,02/04/2009,20,173.09
666,12/25/2009,38,5016.25
667,9/26/2011,47,945.03
668,9/22/2011,38,325.75
669,9/22/2011,24,136.42
670,2/15/2009,23,93.05
671,2/15/2009,20,154.13
672,2/15/2009,46,18824.42
673,10/11/2009,3,33.64
674,03/10/2011,30,176.15
675,08/11/2012,5,66.43
676,08/11/2012,25,2674.18
677,08/11/2012,50,5513.82
678,08/11/2012,37,241.14
679,12/25/2009,8,365.22
680,6/29/2012,31,3229.66
681,6/29/2012,24,4010.9375
682,1/18/2009,47,672.46
683,5/20/2012,49,8223.07
684,3/19/2009,11,259.69
685,3/19/2009,9,2503.86
686,3/19/2009,29,374.67
687,09/05/2009,11,5155.35
688,11/03/2009,7,538.51
689,3/26/2011,18,3780.43
690,3/26/2011,10,1961.68
691,02/10/2012,20,638.72
692,05/06/2009,37,1599.54
693,05/06/2009,2,942.42
694,11/23/2010,43,1290.2065
695,02/10/2011,43,858.53
696,3/29/2010,34,245.4
697,3/29/2010,47,4177.66
698,09/05/2012,13,63.33
699,09/05/2012,36,1436.55
700,1/31/2011,21,848.2
701,1/31/2011,30,717.21
702,08/07/2009,44,642.8
703,05/05/2012,32,3114.05
704,05/05/2012,27,8161.93
705,05/05/2012,36,1314.65
706,05/05/2012,28,4479.16
707,11/10/2009,13,1072.22
708,11/10/2009,25,342.85
709,11/10/2009,4,62.48
710,6/14/2010,14,1966.26
711,01/07/2012,24,114.17
712,01/07/2012,39,197.11
713,12/19/2010,15,653.871
714,11/29/2012,36,2039.082
715,11/29/2012,16,225.46
716,11/29/2012,38,783.96
717,4/18/2009,36,4711.244
718,9/24/2009,22,1132.54
719,03/11/2011,16,1648.33
720,12/13/2010,13,50.35
721,1/21/2012,48,1494.232
722,01/06/2012,46,1483.49
723,01/06/2012,42,14729.36
724,12/10/2009,42,258.19
725,02/12/2010,17,4621.1
726,02/12/2010,42,460.2
727,6/26/2009,10,155.45
728,02/08/2011,50,343.26
729,2/20/2011,42,134.86
730,09/10/2012,37,3512.9
731,09/10/2012,4,281.5455
732,02/12/2010,23,5186.31
733,02/01/2010,31,983.78
734,9/26/2011,48,410.15
735,9/26/2011,28,135.72
736,08/12/2010,37,589.63
737,8/20/2010,3,336.84
738,8/20/2010,30,397.17
739,5/17/2012,24,2094.12
740,5/17/2012,46,1714.02
741,07/09/2010,34,223.59
742,10/22/2011,30,288.56
743,10/22/2011,14,1892.848
744,7/15/2010,35,6375.28
745,03/04/2011,29,1000.78
746,03/04/2011,35,543.72
747,01/05/2009,6,165.75
748,01/05/2009,11,2021.147
749,05/12/2009,4,42.58
750,2/22/2010,49,4577.18
751,2/22/2010,39,845.9
752,6/23/2011,28,1082.45
753,3/20/2009,9,23.46
754,1/22/2011,34,2154.34
755,7/28/2011,40,1699.52
756,7/28/2011,50,760.85
757,04/03/2010,8,1042.25
758,04/03/2010,29,5010.7415
759,11/21/2010,40,19109.61
760,09/11/2010,25,409.08
761,8/31/2011,48,3397.72
762,8/31/2011,1,449.42
763,06/07/2009,13,59.58
764,3/22/2009,17,642.9
765,3/22/2009,9,47.28
766,9/30/2010,38,6900.13
767,9/15/2010,10,1449.21
768,01/10/2010,32,162.25
769,6/26/2010,27,384.9
770,7/23/2011,14,84.09
771,10/10/2010,43,319.69
772,02/05/2009,48,139.86
773,02/05/2009,6,926.585
774,11/09/2011,4,27.34
775,11/09/2011,23,683.68
776,7/26/2009,26,100.41
777,7/26/2009,48,8101.9875
778,7/26/2009,8,1313.811
779,4/18/2009,28,1350.34
780,4/18/2009,8,861.26
781,4/18/2009,20,1531.411
782,2/24/2012,40,57.24
783,7/28/2012,46,247.21
784,7/28/2012,27,1541.781
785,12/14/2011,2,19
786,12/14/2011,50,8289.51
787,6/13/2010,20,42.22
788,6/13/2010,4,653.44
789,10/01/2010,22,245.96
790,4/27/2012,34,1014.87
791,9/24/2011,18,35.51
792,9/24/2011,39,1105.66
793,6/30/2012,18,78.93
794,11/10/2011,37,608.33
795,11/05/2009,20,155.8
796,2/19/2009,37,226.65
797,2/19/2009,4,10.96
798,2/19/2009,29,185.61
799,03/02/2010,29,1098.506
800,6/28/2009,46,160.27
801,6/28/2009,46,4601.02
802,6/28/2009,15,89.89
803,1/26/2009,30,447.33
804,08/02/2011,23,104.82
805,07/04/2010,6,34.88
806,10/01/2012,17,224.09
807,7/14/2011,7,384.2
808,7/25/2010,23,6366.52
809,07/06/2009,4,31.01
810,07/06/2009,46,331.83
811,07/06/2009,22,446.46
812,07/06/2009,31,1252.89
813,07/06/2009,12,47.79
814,07/06/2009,3,63.84
815,12/11/2012,29,531.063
816,12/11/2012,10,152.84
817,12/01/2011,33,271.14
818,12/01/2011,26,1150.3
819,04/04/2009,49,305.96
820,6/25/2010,2,48.84
821,2/16/2011,37,223.74
822,2/16/2011,2,26.82
823,8/26/2010,23,631.99
824,11/04/2010,23,413.8
825,11/04/2010,36,336.25
826,11/04/2010,22,4001.4685
827,4/28/2009,30,102.95
828,08/06/2009,9,65.81
829,3/18/2009,32,2564.45
830,3/18/2009,7,53.55
831,01/05/2009,5,1244.19
832,10/08/2012,4,207.55
833,11/05/2010,29,1158.45
834,11/05/2010,43,2568.71
835,12/10/2012,14,154.45
836,02/05/2009,23,6133.18
837,9/28/2011,34,2632.4755
838,06/05/2012,43,170.81
839,06/05/2012,31,4726.595
840,9/26/2010,46,3780.16
841,9/26/2010,31,1784.048
842,1/21/2009,46,1482.01
843,10/05/2012,14,91.75
844,10/05/2012,31,346.57
845,3/25/2009,20,234.09
846,9/20/2012,19,82.43
847,9/20/2012,31,295.97
848,9/20/2012,29,94.5
849,02/05/2010,39,1836.06
850,02/05/2010,2,21.03
851,3/19/2010,46,507.64
852,11/19/2011,39,301.36
853,11/19/2011,17,114.28
854,11/19/2011,49,1889.04
855,4/29/2009,49,7002.08
856,04/03/2011,47,91.43
857,4/16/2011,7,27.99
858,4/16/2011,6,21.07
859,6/15/2010,37,102.46
860,6/15/2010,43,1097.6
861,08/09/2009,3,21.64
862,9/20/2009,48,128
863,9/20/2009,5,252.66
864,3/20/2012,16,44.1
865,3/23/2012,45,132.31
866,7/19/2010,47,178.51
867,7/19/2010,15,31.32
868,11/21/2012,28,1538.8655
869,3/27/2009,25,286.07
870,3/27/2009,26,733.92
871,3/27/2009,6,99.11
872,5/14/2010,17,2475.08
873,5/14/2010,49,1610.42
874,10/17/2010,48,5620.2
875,8/24/2010,26,1382.31
876,8/24/2010,46,991.36
877,08/10/2011,19,1410.44
878,9/24/2009,10,268.18
879,9/24/2009,9,477.054
880,10/30/2012,35,738.69
881,10/30/2012,5,1015.4
882,05/07/2010,17,184.09
883,04/09/2011,36,1646.05
884,06/03/2010,46,7807.45
885,5/22/2010,45,261
886,5/22/2010,4,127.56
887,10/25/2012,35,144.06
888,10/25/2012,32,3205.24
889,10/25/2012,46,339.27
890,10/25/2012,9,902.024
891,01/05/2010,34,702.79
892,01/05/2010,44,712.64
893,12/30/2011,40,239.86
894,12/30/2011,48,1269.79
895,2/14/2011,17,1529.014
896,5/28/2010,3,336.84
897,5/28/2010,7,1120.27
898,6/28/2010,47,5677.609
899,03/01/2011,21,1222.68
900,03/01/2011,26,390.2
901,2/27/2012,26,892.38
902,2/27/2012,10,29.41
903,3/19/2012,24,1449.3
904,3/19/2012,43,4374.6865
905,3/19/2012,44,4283.235
906,03/04/2012,7,1874.37
907,03/09/2012,35,1476.39
