StatusKey,reservation_status_date,is_canceled,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,days_in_waiting_list,reservation_status,stays_in_weekend_nights,stays_in_week_nights
52,2015-03-03,1,0,1,0,0,Canceled,1,1
53,2015-03-03,1,0,1,0,0,Canceled,4,6
54,2015-03-03,1,0,1,0,0,Canceled,1,5
55,2015-03-03,1,1,1,0,0,Canceled,1,1
56,2015-03-03,1,0,25,0,0,Canceled,1,5
57,2015-03-04,1,0,1,0,0,Canceled,0,3
58,2015-03-04,1,0,1,0,0,Canceled,2,5
59,2015-03-05,1,0,0,0,0,Canceled,1,4
60,2015-03-06,1,0,1,0,0,Canceled,2,4
61,2015-03-06,1,0,1,0,0,Canceled,0,1
62,2015-03-09,1,0,1,0,0,Canceled,0,2
63,2015-03-09,1,0,1,0,0,Canceled,2,5
64,2015-03-10,1,0,1,0,0,Canceled,1,5
65,2015-03-11,1,0,1,0,0,Canceled,1,3
66,2015-03-12,1,0,1,0,0,Canceled,0,5
67,2015-03-13,1,0,0,0,0,Canceled,1,3
68,2015-03-17,1,0,1,0,0,Canceled,2,5
69,2015-03-17,1,0,1,0,0,Canceled,2,6
70,2015-03-17,1,0,0,0,0,Canceled,1,5
71,2015-03-18,1,0,1,0,0,Canceled,2,4
72,2015-03-23,1,0,1,0,0,Canceled,0,1
73,2015-03-23,1,0,1,0,0,Canceled,1,2
74,2015-03-24,1,0,1,0,0,Canceled,2,5
75,2015-03-24,1,0,0,0,0,Canceled,2,5
76,2015-03-25,1,0,1,0,0,Canceled,0,2
77,2015-03-25,1,0,0,0,0,Canceled,2,5
78,2015-03-28,1,0,0,0,0,Canceled,2,5
79,2015-03-29,1,0,0,0,0,Canceled,1,5
80,2015-03-30,1,0,0,0,0,Canceled,2,5
81,2015-03-31,1,0,0,0,0,Canceled,2,0
82,2015-03-31,1,0,1,0,0,Canceled,4,10
83,2015-03-31,1,0,1,0,0,Canceled,2,5
84,2015-04-02,1,0,1,0,0,Canceled,2,4
85,2015-04-02,1,0,14,0,0,Canceled,1,3
86,2015-04-02,1,0,0,0,0,Canceled,0,2
87,2015-04-02,1,0,1,0,0,Canceled,1,3
88,2015-04-02,1,0,1,0,0,Canceled,1,2
89,2015-04-03,1,0,1,0,0,Canceled,4,10
90,2015-04-03,1,1,1,0,0,Canceled,2,5
91,2015-04-04,1,0,1,0,0,Canceled,4,10
92,2015-04-04,1,0,3,0,0,Canceled,2,6
93,2015-04-04,1,0,0,0,0,Canceled,0,4
94,2015-04-04,1,0,0,0,0,Canceled,4,9
95,2015-04-04,1,0,1,0,0,Canceled,2,6
96,2015-04-04,1,0,1,0,0,Canceled,2,3
97,2015-04-05,1,0,1,0,0,Canceled,0,2
98,2015-04-05,1,0,0,0,0,Canceled,0,2
99,2015-04-05,1,0,1,0,0,Canceled,0,1
100,2015-04-06,1,0,0,0,0,Canceled,2,5
101,2015-04-06,1,0,0,0,0,Canceled,2,2
102,2015-04-06,1,0,0,0,0,Canceled,2,3
103,2015-04-07,1,0,0,0,0,Canceled,3,6
104,2015-04-08,1,0,0,0,0,Canceled,5,15
105,2015-04-08,1,0,1,0,0,Canceled,2,5
106,2015-04-10,1,0,1,0,0,Canceled,2,5
107,2015-04-10,1,0,0,0,0,Canceled,2,6
108,2015-04-10,1,0,0,0,0,Canceled,2,9
109,2015-04-10,1,0,1,0,0,Canceled,2,3
110,2015-04-11,1,0,0,0,0,Canceled,2,7
111,2015-04-11,1,0,0,0,0,Canceled,5,15
112,2015-04-13,1,0,0,0,0,Canceled,2,2
113,2015-04-13,1,0,0,0,0,Canceled,2,5
114,2015-04-14,1,0,0,0,0,Canceled,1,4
115,2015-04-14,1,0,1,0,0,Canceled,2,3
116,2015-04-15,1,0,0,0,0,Canceled,2,5
117,2015-04-15,1,0,2,0,0,Canceled,2,5
118,2015-04-15,1,0,0,0,0,Canceled,6,15
119,2015-04-15,1,0,1,0,0,Canceled,1,3
120,2015-04-15,1,0,2,0,0,Canceled,2,4
121,2015-04-15,1,0,0,0,0,Canceled,3,6
122,2015-04-16,1,0,1,0,0,Canceled,4,12
123,2015-04-16,1,0,0,0,0,Canceled,1,0
124,2015-04-16,1,0,0,0,0,Canceled,2,4
125,2015-04-16,1,0,1,0,0,Canceled,4,6
126,2015-04-16,1,0,1,0,0,Canceled,2,3
127,2015-04-16,1,0,0,0,0,Canceled,2,0
128,2015-04-17,1,0,0,0,0,Canceled,2,5
129,2015-04-17,1,0,0,0,0,Canceled,1,2
130,2015-04-18,1,0,0,0,0,Canceled,2,5
131,2015-04-20,1,0,0,0,0,Canceled,0,5
132,2015-04-20,1,0,0,0,0,Canceled,1,2
133,2015-04-20,1,0,1,0,0,Canceled,2,2
134,2015-04-20,1,0,0,0,0,Canceled,0,2
135,2015-04-21,1,0,0,0,0,Canceled,1,3
136,2015-04-22,1,0,0,0,0,Canceled,0,4
137,2015-04-22,1,0,0,0,0,Canceled,0,5
138,2015-04-22,1,0,0,0,0,Canceled,2,5
139,2015-04-22,1,0,0,0,0,Canceled,0,3
140,2015-04-22,1,0,0,0,0,Canceled,2,6
141,2015-04-23,1,0,1,0,0,Canceled,1,3
142,2015-04-23,1,0,0,0,0,Canceled,4,10
143,2015-04-23,1,0,0,0,0,Canceled,2,5
144,2015-04-24,1,0,0,0,0,Canceled,0,2
145,2015-04-24,1,0,0,0,0,Canceled,1,5
146,2015-04-24,1,0,0,0,0,Canceled,1,1
147,2015-04-25,1,0,1,0,0,Canceled,3,6
148,2015-04-27,1,0,0,0,0,Canceled,2,7
149,2015-04-28,1,0,24,0,0,Canceled,0,2
150,2015-04-28,1,0,1,0,0,Canceled,0,2
151,2015-04-29,1,0,0,0,0,Canceled,1,5
152,2015-04-29,1,0,0,0,0,Canceled,0,2
153,2015-04-29,1,0,1,0,0,Canceled,2,6
154,2015-04-29,1,0,0,0,0,Canceled,2,2
155,2015-04-29,1,0,0,0,0,Canceled,2,7
156,2015-04-29,1,0,1,0,0,Canceled,0,3
157,2015-04-29,1,0,1,0,0,Canceled,0,2
158,2015-04-29,1,0,19,0,0,Canceled,0,3
159,2015-04-30,1,0,0,0,0,Canceled,0,4
160,2015-05-01,1,0,1,0,0,Canceled,4,5
161,2015-05-01,1,0,0,0,0,Canceled,2,6
162,2015-05-01,1,0,0,0,0,Canceled,0,4
163,2015-05-01,1,0,0,0,0,Canceled,2,5
164,2015-05-01,1,0,0,0,0,Canceled,1,4
165,2015-05-01,1,0,0,0,0,Canceled,4,6
166,2015-05-04,1,0,0,0,0,Canceled,1,2
167,2015-05-04,1,0,0,0,0,Canceled,0,1
168,2015-05-05,1,0,0,0,0,Canceled,0,3
169,2015-05-05,1,0,0,0,0,Canceled,1,2
170,2015-05-05,1,0,0,0,0,Canceled,0,4
171,2015-05-05,1,0,1,0,0,Canceled,2,4
172,2015-05-06,1,0,1,0,0,Canceled,1,3
173,2015-05-06,1,0,0,0,0,Canceled,2,10
174,2015-05-06,1,0,0,0,0,Canceled,0,3
175,2015-05-06,1,0,0,0,0,Canceled,0,5
176,2015-05-07,1,0,0,0,0,Canceled,2,8
177,2015-05-07,1,0,1,0,0,Canceled,1,4
178,2015-05-07,1,0,0,0,0,Canceled,0,1
179,2015-05-07,1,0,0,0,0,Canceled,0,2
180,2015-05-07,1,0,0,0,0,Canceled,2,1
181,2015-05-08,1,0,3,0,0,Canceled,1,4
182,2015-05-08,1,0,0,0,0,Canceled,0,4
183,2015-05-09,1,0,0,0,0,Canceled,1,4
184,2015-05-09,1,0,0,0,0,Canceled,2,2
185,2015-05-09,1,0,0,0,0,Canceled,1,3
186,2015-05-09,1,0,0,0,0,Canceled,2,1
187,2015-05-11,1,0,0,0,0,Canceled,2,1
188,2015-05-11,1,0,0,0,0,Canceled,2,5
189,2015-05-11,1,0,0,0,0,Canceled,0,2
190,2015-05-12,1,0,0,0,0,Canceled,2,1
191,2015-05-12,1,0,0,0,0,Canceled,1,5
192,2015-05-12,1,0,0,0,0,Canceled,2,4
193,2015-05-12,1,0,1,0,0,Canceled,1,2
194,2015-05-12,1,0,0,0,0,Canceled,0,3
195,2015-05-12,1,0,0,0,0,Canceled,2,5
196,2015-05-12,1,0,0,0,0,Canceled,2,6
197,2015-05-13,1,0,0,0,0,Canceled,2,6
198,2015-05-13,1,0,0,0,0,Canceled,1,4
199,2015-05-13,1,0,0,0,0,Canceled,2,0
200,2015-05-13,1,0,0,0,0,Canceled,2,5
201,2015-05-13,1,0,0,0,0,Canceled,0,1
202,2015-05-13,1,0,0,0,0,Canceled,1,2
203,2015-05-14,1,0,0,0,0,Canceled,3,7
204,2015-05-14,1,0,1,0,0,Canceled,3,5
205,2015-05-14,1,0,1,0,0,Canceled,2,6
206,2015-05-14,1,0,0,0,0,Canceled,2,8
207,2015-05-14,1,0,1,0,0,Canceled,2,2
208,2015-05-14,1,0,0,0,0,Canceled,2,5
209,2015-05-14,1,0,1,0,0,Canceled,0,1
210,2015-05-14,1,0,1,0,0,Canceled,4,6
211,2015-05-15,1,0,0,0,0,Canceled,2,2
212,2015-05-16,1,0,0,0,0,Canceled,2,5
213,2015-05-16,1,0,1,0,0,Canceled,2,6
214,2015-05-16,1,0,0,0,0,Canceled,2,4
215,2015-05-18,1,0,1,0,0,Canceled,2,9
216,2015-05-18,1,0,1,0,0,Canceled,2,1
217,2015-05-18,1,0,0,0,0,Canceled,2,7
218,2015-05-18,1,0,0,0,0,Canceled,2,5
219,2015-05-18,1,0,0,0,0,Canceled,5,12
220,2015-05-18,1,0,0,0,0,Canceled,2,3
221,2015-05-19,1,0,1,0,0,Canceled,1,2
222,2015-05-19,1,0,0,0,0,Canceled,2,5
223,2015-05-19,1,0,1,0,0,Canceled,0,1
224,2015-05-19,1,0,1,0,0,Canceled,4,10
225,2015-05-19,1,0,0,0,0,Canceled,2,6
226,2015-05-19,1,0,0,0,0,Canceled,1,3
227,2015-05-19,1,0,0,0,0,Canceled,0,4
228,2015-05-19,1,0,0,0,0,Canceled,3,7
229,2015-05-20,1,0,0,0,0,Canceled,2,2
230,2015-05-20,1,0,0,0,0,Canceled,2,5
231,2015-05-20,1,0,0,0,0,Canceled,2,0
232,2015-05-20,1,0,0,0,0,Canceled,2,3
233,2015-05-20,1,0,1,0,0,Canceled,1,3
234,2015-05-20,1,0,0,0,0,Canceled,0,3
235,2015-05-20,1,0,1,0,0,Canceled,2,1
236,2015-05-21,1,0,0,0,0,Canceled,5,12
237,2015-05-21,1,0,0,0,0,Canceled,1,3
238,2015-05-21,1,0,0,0,0,Canceled,0,5
239,2015-05-22,1,0,0,0,0,Canceled,2,6
240,2015-05-22,1,0,0,0,0,Canceled,2,5
241,2015-05-22,1,0,1,0,0,Canceled,2,8
242,2015-05-22,1,0,0,0,0,Canceled,1,3
243,2015-05-23,1,0,0,0,0,Canceled,0,4
244,2015-05-23,1,0,0,0,0,Canceled,1,3
245,2015-05-23,1,0,0,0,0,Canceled,1,4
246,2015-05-23,1,0,0,0,0,Canceled,2,1
247,2015-05-23,1,0,0,0,0,Canceled,2,5
248,2015-05-25,1,0,0,0,0,Canceled,2,2
249,2015-05-25,1,0,0,0,0,Canceled,2,6
250,2015-05-25,1,0,0,0,0,Canceled,2,4
251,2015-05-25,1,0,1,0,0,Canceled,0,2
252,2015-05-25,1,0,0,0,0,Canceled,2,3
253,2015-05-25,1,0,0,0,0,Canceled,0,2
254,2015-05-26,1,0,0,0,0,Canceled,1,2
255,2015-05-26,1,0,0,0,0,Canceled,0,2
256,2015-05-27,1,0,0,0,0,Canceled,2,4
257,2015-05-27,1,0,0,0,0,Canceled,2,5
258,2015-05-27,1,0,1,0,0,Canceled,2,5
259,2015-05-27,1,0,2,0,0,Canceled,2,5
260,2015-05-27,1,0,0,0,0,Canceled,4,11
261,2015-05-27,1,0,0,0,0,Canceled,0,4
262,2015-05-27,1,0,0,0,0,Canceled,2,7
263,2015-05-27,1,0,0,0,0,Canceled,2,6
264,2015-05-28,1,0,0,0,0,Canceled,0,5
265,2015-05-28,1,0,0,0,0,Canceled,0,4
266,2015-05-28,1,0,1,0,0,Canceled,0,1
267,2015-05-28,1,0,0,0,0,Canceled,1,4
268,2015-05-28,1,0,1,0,0,Canceled,1,3
269,2015-05-28,1,0,0,0,0,Canceled,0,2
270,2015-05-28,1,0,0,0,0,Canceled,2,3
271,2015-05-29,1,0,0,0,0,Canceled,0,4
272,2015-05-29,1,0,0,0,0,Canceled,4,6
273,2015-05-29,1,0,1,0,0,Canceled,2,6
274,2015-05-29,1,0,0,0,0,Canceled,2,3
275,2015-05-29,1,0,2,0,0,Canceled,2,6
276,2015-05-29,1,0,0,0,0,Canceled,2,8
277,2015-05-29,1,0,0,0,0,Canceled,0,1
278,2015-05-29,1,0,1,0,0,Canceled,1,4
279,2015-05-29,1,0,1,0,0,Canceled,2,5
280,2015-05-29,1,0,2,0,0,Canceled,2,5
281,2015-05-29,1,0,1,0,0,Canceled,1,2
282,2015-05-29,1,0,0,0,0,Canceled,2,2
283,2015-05-30,1,0,1,0,0,Canceled,2,5
284,2015-05-30,1,0,0,0,0,Canceled,2,5
285,2015-06-01,1,0,0,0,0,Canceled,0,4
286,2015-06-01,1,0,1,0,0,Canceled,2,3
287,2015-06-01,1,0,0,0,0,Canceled,0,1
288,2015-06-01,1,0,0,0,0,Canceled,0,3
289,2015-06-01,1,0,0,0,0,Canceled,1,4
290,2015-06-01,1,0,0,0,0,Canceled,2,6
291,2015-06-01,1,0,0,0,0,Canceled,1,1
292,2015-06-01,1,0,0,0,0,Canceled,3,6
293,2015-06-01,1,0,0,0,0,Canceled,3,7
294,2015-06-02,1,0,0,0,0,Canceled,2,5
295,2015-06-02,1,0,0,0,0,Canceled,2,3
296,2015-06-02,1,0,0,0,0,Canceled,2,4
297,2015-06-02,1,0,0,0,0,Canceled,0,3
298,2015-06-02,1,0,0,0,0,Canceled,1,4
299,2015-06-02,1,0,0,0,0,Canceled,1,5
300,2015-06-02,1,0,0,0,0,Canceled,3,6
301,2015-06-03,1,0,0,0,0,Canceled,4,10
302,2015-06-03,1,0,0,0,0,Canceled,2,4
303,2015-06-03,1,0,0,0,0,Canceled,2,5
304,2015-06-03,1,0,0,0,0,Canceled,1,4
305,2015-06-03,1,0,1,0,0,Canceled,2,5
306,2015-06-03,1,0,0,0,0,Canceled,1,3
307,2015-06-04,1,0,0,0,0,Canceled,1,1
308,2015-06-04,1,0,0,0,0,Canceled,2,2
309,2015-06-04,1,0,0,0,0,Canceled,2,5
310,2015-06-04,1,0,0,0,0,Canceled,0,2
311,2015-06-04,1,0,1,0,0,Canceled,0,2
312,2015-06-04,1,0,0,0,0,Canceled,2,4
313,2015-06-05,1,0,0,0,0,Canceled,1,5
314,2015-06-05,1,0,1,0,0,Canceled,2,6
315,2015-06-05,1,0,0,0,0,Canceled,0,1
316,2015-06-05,1,0,0,0,0,Canceled,2,5
317,2015-06-06,1,0,0,0,0,Canceled,2,4
318,2015-06-06,1,0,0,0,0,Canceled,2,5
319,2015-06-08,1,0,0,0,0,Canceled,2,7
320,2015-06-08,1,0,0,0,0,Canceled,0,4
321,2015-06-08,1,0,0,0,0,Canceled,1,4
322,2015-06-08,1,0,0,0,0,Canceled,2,4
323,2015-06-08,1,0,0,0,0,Canceled,2,5
324,2015-06-08,1,0,0,0,0,Canceled,2,3
325,2015-06-08,1,0,0,0,0,Canceled,2,2
326,2015-06-09,1,0,0,0,0,Canceled,0,4
327,2015-06-09,1,0,0,0,0,Canceled,1,3
328,2015-06-09,1,0,0,0,0,Canceled,2,5
329,2015-06-09,1,0,0,0,0,Canceled,0,2
330,2015-06-09,1,0,1,0,0,Canceled,2,3
331,2015-06-09,1,0,0,0,0,Canceled,3,7
332,2015-06-09,1,0,1,0,0,Canceled,1,1
333,2015-06-10,1,0,1,0,0,Canceled,2,3
334,2015-06-10,1,0,0,0,0,Canceled,1,2
335,2015-06-11,1,0,1,0,0,Canceled,1,2
336,2015-06-11,1,0,0,0,0,Canceled,2,5
337,2015-06-11,1,0,0,0,0,Canceled,2,6
338,2015-06-11,1,0,0,0,0,Canceled,1,3
339,2015-06-11,1,0,0,0,0,Canceled,2,4
340,2015-06-11,1,0,1,0,0,Canceled,4,10
341,2015-06-11,1,0,0,0,0,Canceled,0,3
342,2015-06-11,1,0,0,0,0,Canceled,2,3
343,2015-06-12,1,0,0,0,0,Canceled,4,6
344,2015-06-12,1,0,0,0,0,Canceled,1,2
345,2015-06-12,1,0,0,0,0,Canceled,1,5
346,2015-06-12,1,0,0,0,0,Canceled,2,1
347,2015-06-12,1,0,0,0,0,Canceled,1,1
348,2015-06-12,1,0,0,0,0,Canceled,0,2
349,2015-06-12,1,0,1,0,0,Canceled,1,1
350,2015-06-12,1,0,0,0,0,Canceled,2,5
351,2015-06-12,1,0,0,0,0,Canceled,0,4
352,2015-06-13,1,0,0,0,0,Canceled,2,5
353,2015-06-13,1,0,0,0,0,Canceled,1,3
354,2015-06-13,1,0,1,0,0,Canceled,1,5
355,2015-06-14,1,1,1,3,0,Canceled,0,3
356,2015-06-15,1,0,1,0,0,Canceled,3,7
357,2015-06-15,1,0,2,0,0,Canceled,2,2
358,2015-06-15,1,0,1,0,0,Canceled,2,2
359,2015-06-15,1,0,0,0,0,Canceled,0,2
360,2015-06-15,1,0,0,0,0,Canceled,2,5
361,2015-06-15,1,0,0,0,0,Canceled,3,5
362,2015-06-15,1,0,0,0,0,Canceled,1,3
363,2015-06-15,1,0,0,0,0,Canceled,1,2
364,2015-06-15,1,0,1,0,0,Canceled,1,2
365,2015-06-15,1,0,0,0,0,Canceled,1,4
366,2015-06-15,1,0,1,0,0,Canceled,1,4
367,2015-06-15,1,0,0,0,0,Canceled,0,1
368,2015-06-15,1,0,0,0,0,Canceled,2,8
369,2015-06-15,1,0,1,0,0,Canceled,0,1
370,2015-06-15,1,0,0,0,0,Canceled,2,4
371,2015-06-15,1,0,1,0,0,Canceled,0,3
372,2015-06-15,1,0,0,0,0,Canceled,2,1
373,2015-06-15,1,0,0,0,0,Canceled,1,1
374,2015-06-15,1,0,1,0,0,Canceled,2,5
375,2015-06-15,1,0,0,0,0,Canceled,0,4
376,2015-06-16,1,0,0,0,0,Canceled,3,6
377,2015-06-16,1,0,1,0,0,Canceled,0,2
378,2015-06-16,1,0,1,0,0,Canceled,2,2
379,2015-06-16,1,0,0,0,0,Canceled,0,1
380,2015-06-16,1,0,1,0,0,Canceled,0,4
381,2015-06-16,1,0,0,0,0,Canceled,2,5
382,2015-06-16,1,0,0,0,0,Canceled,0,2
383,2015-06-16,1,0,0,0,0,Canceled,0,3
384,2015-06-17,1,0,0,0,0,Canceled,2,4
385,2015-06-17,1,0,1,0,0,Canceled,1,4
386,2015-06-17,1,0,1,0,0,Canceled,0,2
387,2015-06-17,1,0,24,0,0,Canceled,2,5
388,2015-06-17,1,0,0,0,0,Canceled,1,0
389,2015-06-17,1,0,1,0,0,Canceled,0,1
390,2015-06-17,1,0,0,0,0,Canceled,2,6
391,2015-06-17,1,0,2,0,0,Canceled,2,3
392,2015-06-17,1,0,0,0,0,Canceled,1,1
393,2015-06-17,1,0,0,0,0,Canceled,0,3
394,2015-06-17,1,0,0,0,0,Canceled,4,10
395,2015-06-17,1,0,0,0,0,Canceled,2,5
396,2015-06-17,1,0,0,0,0,Canceled,1,4
397,2015-06-17,1,0,0,0,0,Canceled,1,2
398,2015-06-17,1,0,1,0,0,Canceled,2,5
399,2015-06-17,1,0,0,0,0,Canceled,1,3
400,2015-06-17,1,0,0,0,0,Canceled,3,5
401,2015-06-18,1,0,0,0,0,Canceled,2,3
402,2015-06-18,1,0,0,0,0,Canceled,2,7
403,2015-06-18,1,0,0,0,0,Canceled,2,2
404,2015-06-18,1,0,1,0,0,Canceled,1,3
405,2015-06-18,1,0,1,0,0,Canceled,0,3
406,2015-06-18,1,0,0,0,0,Canceled,1,1
407,2015-06-18,1,0,0,0,0,Canceled,0,2
408,2015-06-19,1,0,1,0,0,Canceled,4,10
409,2015-06-19,1,0,0,0,0,Canceled,1,3
410,2015-06-19,1,0,0,0,0,Canceled,1,4
411,2015-06-19,1,0,0,0,0,Canceled,0,4
412,2015-06-19,1,0,0,0,0,Canceled,3,5
413,2015-06-19,1,0,0,0,0,Canceled,0,3
414,2015-06-19,1,0,0,0,0,Canceled,2,4
415,2015-06-19,1,0,0,0,0,Canceled,2,5
416,2015-06-19,1,0,0,0,0,Canceled,4,10
417,2015-06-19,1,0,0,0,0,Canceled,0,2
418,2015-06-20,1,0,0,0,0,Canceled,1,1
419,2015-06-20,1,0,0,0,0,Canceled,2,2
420,2015-06-20,1,0,0,0,0,Canceled,2,4
421,2015-06-20,1,0,0,0,0,Canceled,1,4
422,2015-06-20,1,0,0,0,0,Canceled,2,1
423,2015-06-20,1,0,1,0,0,Canceled,1,3
424,2015-06-20,1,0,1,0,0,Canceled,2,5
425,2015-06-22,1,0,0,0,0,Canceled,2,1
426,2015-06-22,1,0,0,0,0,Canceled,1,5
427,2015-06-22,1,0,0,0,0,Canceled,1,4
428,2015-06-22,1,0,0,0,0,Canceled,2,5
429,2015-06-22,1,0,0,0,0,Canceled,3,5
430,2015-06-22,1,0,0,0,0,Canceled,1,2
431,2015-06-22,1,0,0,0,0,Canceled,2,3
432,2015-06-22,1,0,0,0,0,Canceled,0,2
433,2015-06-22,1,0,1,0,0,Canceled,2,6
434,2015-06-23,1,0,0,0,0,Canceled,2,4
435,2015-06-23,1,0,0,0,0,Canceled,1,3
436,2015-06-23,1,0,0,0,0,Canceled,3,8
437,2015-06-23,1,0,0,0,0,Canceled,0,4
438,2015-06-23,1,0,0,0,0,Canceled,0,1
439,2015-06-23,1,0,0,0,0,Canceled,2,1
440,2015-06-23,1,0,1,0,0,Canceled,0,2
441,2015-06-23,1,0,0,0,0,Canceled,2,3
442,2015-06-24,1,0,0,0,0,Canceled,1,4
443,2015-06-24,1,0,0,0,0,Canceled,1,2
444,2015-06-24,1,0,0,0,0,Canceled,2,5
445,2015-06-24,1,0,0,0,0,Canceled,1,5
446,2015-06-25,1,0,0,0,0,Canceled,1,4
447,2015-06-25,1,0,0,0,0,Canceled,3,6
448,2015-06-25,1,0,0,0,0,Canceled,1,2
449,2015-06-25,1,0,0,0,0,Canceled,2,6
450,2015-06-25,1,0,0,0,0,Canceled,0,5
451,2015-06-25,1,0,0,0,0,Canceled,2,5
452,2015-06-25,1,0,0,0,0,Canceled,1,3
453,2015-06-25,1,0,0,0,0,Canceled,0,3
454,2015-06-25,1,0,0,0,0,Canceled,2,4
455,2015-06-25,1,0,1,0,0,Canceled,3,5
456,2015-06-25,1,0,1,0,0,Canceled,2,5
457,2015-06-26,1,0,1,0,0,Canceled,2,1
458,2015-06-26,1,0,0,0,0,Canceled,0,2
459,2015-06-26,1,0,0,0,0,Canceled,2,3
460,2015-06-26,1,0,1,0,0,Canceled,4,6
461,2015-06-26,1,0,1,0,0,Canceled,2,2
462,2015-06-26,1,0,0,0,0,Canceled,3,7
463,2015-06-26,1,0,0,0,0,Canceled,0,4
464,2015-06-26,1,0,0,0,0,Canceled,2,5
465,2015-06-26,1,0,0,0,0,Canceled,3,9
466,2015-06-26,1,0,0,0,0,Canceled,0,1
467,2015-06-27,1,0,1,0,0,Canceled,1,1
468,2015-06-27,1,0,0,0,0,Canceled,2,1
469,2015-06-27,1,0,1,0,0,Canceled,1,2
470,2015-06-27,1,0,0,0,0,Canceled,2,5
471,2015-06-27,1,0,0,0,0,Canceled,2,4
472,2015-06-27,1,0,0,0,0,Canceled,0,3
473,2015-06-27,1,0,0,0,0,Canceled,1,3
474,2015-06-27,1,0,0,0,0,Canceled,0,4
475,2015-06-27,1,0,0,0,0,Canceled,3,6
476,2015-06-29,1,0,0,0,0,Canceled,2,5
477,2015-06-29,1,0,1,0,0,Canceled,2,4
478,2015-06-29,1,0,1,0,0,Canceled,1,1
479,2015-06-29,1,0,1,0,0,Canceled,0,2
480,2015-06-29,1,0,1,0,0,Canceled,0,4
481,2015-06-29,1,0,0,0,0,Canceled,2,2
482,2015-06-29,1,0,0,0,0,Canceled,1,1
483,2015-06-29,1,0,0,0,0,Canceled,1,2
484,2015-06-29,1,0,0,0,0,Canceled,4,10
485,2015-06-29,1,0,1,0,0,Canceled,2,1
486,2015-06-29,1,0,0,0,0,Canceled,1,4
487,2015-06-29,1,0,0,0,0,Canceled,0,3
488,2015-06-29,1,0,0,0,0,Canceled,3,6
489,2015-06-29,1,0,0,0,0,Canceled,0,2
490,2015-06-29,1,0,0,0,0,Canceled,2,3
491,2015-06-29,1,0,0,0,0,Canceled,2,4
492,2015-06-29,1,0,0,0,0,Canceled,1,3
493,2015-06-29,1,0,0,0,0,Canceled,0,4
