HotelKey,reservation_status_date,hotel,country
67,2015-04-11,Resort Hotel,PRT
68,2015-04-13,Resort Hotel,PRT
69,2015-04-14,Resort Hotel,PRT
70,2015-04-14,City Hotel,PRT
71,2015-04-15,Resort Hotel,PRT
72,2015-04-16,City Hotel,PRT
73,2015-04-16,Resort Hotel,PRT
74,2015-04-17,Resort Hotel,PRT
75,2015-04-17,City Hotel,PRT
76,2015-04-18,Resort Hotel,PRT
77,2015-04-20,Resort Hotel,PRT
78,2015-04-21,City Hotel,PRT
79,2015-04-22,Resort Hotel,PRT
80,2015-04-23,Resort Hotel,PRT
81,2015-04-23,City Hotel,PRT
82,2015-04-24,City Hotel,PRT
83,2015-04-24,Resort Hotel,PRT
84,2015-04-25,Resort Hotel,PRT
85,2015-04-27,City Hotel,PRT
86,2015-04-28,Resort Hotel,PRT
87,2015-04-29,City Hotel,PRT
88,2015-04-29,Resort Hotel,PRT
89,2015-04-30,City Hotel,PRT
90,2015-05-01,Resort Hotel,PRT
91,2015-05-01,City Hotel,PRT
92,2015-05-04,City Hotel,PRT
93,2015-05-04,Resort Hotel,PRT
94,2015-05-05,City Hotel,PRT
95,2015-05-06,Resort Hotel,PRT
96,2015-05-06,City Hotel,PRT
97,2015-05-07,City Hotel,PRT
98,2015-05-07,Resort Hotel,PRT
99,2015-05-08,City Hotel,PRT
100,2015-05-08,Resort Hotel,PRT
101,2015-05-09,Resort Hotel,PRT
102,2015-05-11,City Hotel,PRT
103,2015-05-11,Resort Hotel,PRT
104,2015-05-12,Resort Hotel,PRT
105,2015-05-12,City Hotel,PRT
106,2015-05-13,Resort Hotel,PRT
107,2015-05-14,City Hotel,PRT
108,2015-05-14,Resort Hotel,PRT
109,2015-05-15,Resort Hotel,PRT
110,2015-05-16,Resort Hotel,ESP
111,2015-05-16,Resort Hotel,PRT
112,2015-05-18,Resort Hotel,PRT
113,2015-05-18,City Hotel,PRT
114,2015-05-19,Resort Hotel,PRT
115,2015-05-19,City Hotel,PRT
116,2015-05-20,Resort Hotel,PRT
117,2015-05-20,City Hotel,PRT
118,2015-05-20,City Hotel,GBR
119,2015-05-21,Resort Hotel,PRT
120,2015-05-21,City Hotel,PRT
121,2015-05-22,City Hotel,PRT
122,2015-05-22,Resort Hotel,PRT
123,2015-05-23,Resort Hotel,PRT
124,2015-05-25,Resort Hotel,PRT
125,2015-05-25,City Hotel,PRT
126,2015-05-26,Resort Hotel,PRT
127,2015-05-27,Resort Hotel,PRT
128,2015-05-27,City Hotel,PRT
129,2015-05-28,Resort Hotel,PRT
130,2015-05-28,City Hotel,PRT
131,2015-05-29,Resort Hotel,PRT
132,2015-05-29,City Hotel,PRT
133,2015-05-29,Resort Hotel,GBR
134,2015-05-30,City Hotel,PRT
135,2015-05-30,Resort Hotel,PRT
136,2015-06-01,Resort Hotel,PRT
137,2015-06-01,City Hotel,PRT
138,2015-06-02,Resort Hotel,PRT
139,2015-06-03,Resort Hotel,PRT
140,2015-06-03,City Hotel,PRT
141,2015-06-04,Resort Hotel,PRT
142,2015-06-05,Resort Hotel,PRT
143,2015-06-06,Resort Hotel,PRT
144,2015-06-08,Resort Hotel,PRT
145,2015-06-09,Resort Hotel,PRT
146,2015-06-09,City Hotel,PRT
147,2015-06-10,City Hotel,PRT
148,2015-06-11,City Hotel,PRT
149,2015-06-11,Resort Hotel,PRT
150,2015-06-12,City Hotel,PRT
151,2015-06-12,Resort Hotel,PRT
152,2015-06-13,Resort Hotel,PRT
153,2015-06-14,Resort Hotel,PRT
154,2015-06-15,City Hotel,PRT
155,2015-06-15,Resort Hotel,PRT
156,2015-06-15,Resort Hotel,IRL
157,2015-06-16,Resort Hotel,PRT
158,2015-06-16,City Hotel,PRT
159,2015-06-17,Resort Hotel,
160,2015-06-17,Resort Hotel,IRL
161,2015-06-17,Resort Hotel,PRT
162,2015-06-17,City Hotel,PRT
163,2015-06-18,Resort Hotel,PRT
164,2015-06-19,Resort Hotel,PRT
165,2015-06-20,City Hotel,PRT
166,2015-06-20,Resort Hotel,PRT
167,2015-06-22,Resort Hotel,PRT
168,2015-06-23,Resort Hotel,PRT
169,2015-06-23,City Hotel,PRT
170,2015-06-23,City Hotel,ITA
171,2015-06-24,Resort Hotel,PRT
172,2015-06-25,City Hotel,PRT
173,2015-06-25,Resort Hotel,PRT
174,2015-06-26,City Hotel,PRT
175,2015-06-26,Resort Hotel,PRT
176,2015-06-27,City Hotel,PRT
177,2015-06-27,Resort Hotel,PRT
178,2015-06-29,City Hotel,PRT
179,2015-06-29,Resort Hotel,PRT
180,2015-06-30,Resort Hotel,PRT
181,2015-06-30,City Hotel,PRT
182,2015-06-30,City Hotel,FRA
183,2015-07-01,Resort Hotel,PRT
184,2015-07-01,City Hotel,PRT
185,2015-07-01,Resort Hotel,GBR
186,2015-07-02,Resort Hotel,FRA
187,2015-07-02,Resort Hotel,GBR
188,2015-07-02,Resort Hotel,
189,2015-07-02,Resort Hotel,PRT
190,2015-07-02,City Hotel,PRT
191,2015-07-02,Resort Hotel,IRL
192,2015-07-03,Resort Hotel,ESP
193,2015-07-03,Resort Hotel,ARG
194,2015-07-03,Resort Hotel,GBR
195,2015-07-03,City Hotel,PRT
196,2015-07-03,Resort Hotel,PRT
197,2015-07-04,Resort Hotel,ESP
198,2015-07-04,Resort Hotel,GBR
199,2015-07-04,Resort Hotel,BEL
200,2015-07-04,City Hotel,PRT
201,2015-07-04,Resort Hotel,USA
202,2015-07-04,Resort Hotel,PRT
203,2015-07-04,Resort Hotel,IRL
204,2015-07-05,Resort Hotel,GBR
205,2015-07-05,Resort Hotel,PRT
206,2015-07-05,Resort Hotel,IRL
207,2015-07-05,City Hotel,PRT
208,2015-07-05,Resort Hotel,POL
209,2015-07-05,Resort Hotel,ESP
210,2015-07-05,Resort Hotel,USA
211,2015-07-06,Resort Hotel,DEU
212,2015-07-06,Resort Hotel,GBR
213,2015-07-06,Resort Hotel,USA
214,2015-07-06,Resort Hotel,FRA
215,2015-07-06,Resort Hotel,PRT
216,2015-07-06,Resort Hotel,ESP
217,2015-07-06,City Hotel,PRT
218,2015-07-07,Resort Hotel,ROU
219,2015-07-07,Resort Hotel,IRL
220,2015-07-07,Resort Hotel,ESP
221,2015-07-07,Resort Hotel,DEU
222,2015-07-07,City Hotel,PRT
223,2015-07-07,Resort Hotel,PRT
224,2015-07-07,Resort Hotel,FRA
225,2015-07-08,Resort Hotel,PRT
226,2015-07-08,Resort Hotel,USA
227,2015-07-08,City Hotel,PRT
228,2015-07-08,Resort Hotel,GBR
229,2015-07-08,Resort Hotel,
230,2015-07-08,Resort Hotel,BRA
231,2015-07-08,Resort Hotel,IRL
232,2015-07-09,Resort Hotel,CN
233,2015-07-09,Resort Hotel,NOR
234,2015-07-09,Resort Hotel,ESP
235,2015-07-09,Resort Hotel,GRC
236,2015-07-09,Resort Hotel,GBR
237,2015-07-09,Resort Hotel,PRT
238,2015-07-09,City Hotel,PRT
239,2015-07-09,Resort Hotel,IRL
240,2015-07-10,Resort Hotel,ITA
241,2015-07-10,Resort Hotel,FRA
242,2015-07-10,Resort Hotel,BRA
243,2015-07-10,Resort Hotel,NLD
244,2015-07-10,Resort Hotel,DEU
245,2015-07-10,City Hotel,PRT
246,2015-07-10,Resort Hotel,CN
247,2015-07-10,Resort Hotel,USA
248,2015-07-10,Resort Hotel,CHE
249,2015-07-10,Resort Hotel,PRT
250,2015-07-10,Resort Hotel,ESP
251,2015-07-11,City Hotel,PRT
252,2015-07-11,Resort Hotel,USA
253,2015-07-11,Resort Hotel,NLD
254,2015-07-11,Resort Hotel,ARG
255,2015-07-11,Resort Hotel,ESP
256,2015-07-11,Resort Hotel,CHE
257,2015-07-11,Resort Hotel,CN
258,2015-07-11,Resort Hotel,PRT
259,2015-07-11,Resort Hotel,
260,2015-07-11,Resort Hotel,GBR
261,2015-07-12,Resort Hotel,IRL
262,2015-07-12,Resort Hotel,
263,2015-07-12,Resort Hotel,GBR
264,2015-07-12,Resort Hotel,FRA
265,2015-07-12,Resort Hotel,DEU
266,2015-07-12,Resort Hotel,ESP
267,2015-07-12,Resort Hotel,PRT
268,2015-07-12,City Hotel,PRT
269,2015-07-13,Resort Hotel,ROU
270,2015-07-13,Resort Hotel,AUS
271,2015-07-13,Resort Hotel,ESP
272,2015-07-13,Resort Hotel,DEU
273,2015-07-13,Resort Hotel,RUS
274,2015-07-13,Resort Hotel,GBR
275,2015-07-13,City Hotel,PRT
276,2015-07-13,Resort Hotel,IRL
277,2015-07-13,Resort Hotel,PRT
278,2015-07-13,Resort Hotel,CN
279,2015-07-14,Resort Hotel,POL
280,2015-07-14,City Hotel,PRT
281,2015-07-14,Resort Hotel,SWE
282,2015-07-14,Resort Hotel,ROU
283,2015-07-14,Resort Hotel,IRL
284,2015-07-14,Resort Hotel,GBR
285,2015-07-14,Resort Hotel,FRA
286,2015-07-14,Resort Hotel,ESP
287,2015-07-14,Resort Hotel,CHE
288,2015-07-14,Resort Hotel,PRT
289,2015-07-14,Resort Hotel,BEL
290,2015-07-15,Resort Hotel,ITA
291,2015-07-15,City Hotel,PRT
292,2015-07-15,Resort Hotel,EST
293,2015-07-15,Resort Hotel,GBR
294,2015-07-15,Resort Hotel,CZE
295,2015-07-15,Resort Hotel,AUS
296,2015-07-15,Resort Hotel,
297,2015-07-15,Resort Hotel,POL
298,2015-07-15,Resort Hotel,PRT
299,2015-07-15,Resort Hotel,ESP
300,2015-07-16,Resort Hotel,IRL
301,2015-07-16,Resort Hotel,SWE
302,2015-07-16,Resort Hotel,USA
303,2015-07-16,Resort Hotel,NOR
304,2015-07-16,Resort Hotel,AUT
305,2015-07-16,Resort Hotel,CHE
306,2015-07-16,City Hotel,ITA
307,2015-07-16,Resort Hotel,FIN
308,2015-07-16,Resort Hotel,OMN
309,2015-07-16,Resort Hotel,ESP
310,2015-07-16,City Hotel,PRT
311,2015-07-16,Resort Hotel,CN
312,2015-07-16,Resort Hotel,PRT
313,2015-07-16,Resort Hotel,GBR
314,2015-07-16,Resort Hotel,FRA
315,2015-07-17,Resort Hotel,CN
316,2015-07-17,Resort Hotel,BRA
317,2015-07-17,Resort Hotel,IRL
318,2015-07-17,City Hotel,PRT
319,2015-07-17,Resort Hotel,USA
320,2015-07-17,Resort Hotel,FIN
321,2015-07-17,Resort Hotel,NLD
322,2015-07-17,Resort Hotel,RUS
323,2015-07-17,Resort Hotel,FRA
324,2015-07-17,Resort Hotel,GBR
325,2015-07-17,Resort Hotel,ESP
326,2015-07-17,Resort Hotel,PRT
327,2015-07-17,Resort Hotel,DNK
328,2015-07-18,Resort Hotel,DNK
329,2015-07-18,Resort Hotel,GBR
330,2015-07-18,Resort Hotel,HUN
331,2015-07-18,Resort Hotel,ESP
332,2015-07-18,Resort Hotel,PRT
333,2015-07-18,Resort Hotel,NZL
334,2015-07-18,City Hotel,PRT
335,2015-07-19,Resort Hotel,PRT
336,2015-07-19,Resort Hotel,ESP
337,2015-07-19,Resort Hotel,POL
338,2015-07-19,City Hotel,PRT
339,2015-07-19,Resort Hotel,DEU
340,2015-07-19,Resort Hotel,GBR
341,2015-07-19,Resort Hotel,FRA
342,2015-07-19,Resort Hotel,IRL
343,2015-07-19,Resort Hotel,BRA
344,2015-07-20,Resort Hotel,NLD
345,2015-07-20,Resort Hotel,ITA
346,2015-07-20,Resort Hotel,BWA
347,2015-07-20,Resort Hotel,
348,2015-07-20,Resort Hotel,DEU
349,2015-07-20,Resort Hotel,MOZ
350,2015-07-20,City Hotel,PRT
351,2015-07-20,Resort Hotel,USA
352,2015-07-20,Resort Hotel,ESP
353,2015-07-20,Resort Hotel,GBR
354,2015-07-20,Resort Hotel,IRL
355,2015-07-20,Resort Hotel,PRT
356,2015-07-21,Resort Hotel,POL
357,2015-07-21,Resort Hotel,GBR
358,2015-07-21,Resort Hotel,ISR
359,2015-07-21,Resort Hotel,IRL
360,2015-07-21,Resort Hotel,FIN
361,2015-07-21,Resort Hotel,FRA
362,2015-07-21,Resort Hotel,CN
363,2015-07-21,City Hotel,PRT
364,2015-07-21,Resort Hotel,ESP
365,2015-07-21,Resort Hotel,PRT
366,2015-07-21,Resort Hotel,BEL
367,2015-07-22,Resort Hotel,ESP
368,2015-07-22,City Hotel,ESP
369,2015-07-22,City Hotel,ITA
370,2015-07-22,City Hotel,PRT
371,2015-07-22,Resort Hotel,GBR
372,2015-07-22,Resort Hotel,PRT
373,2015-07-22,Resort Hotel,ROU
374,2015-07-23,Resort Hotel,
375,2015-07-23,Resort Hotel,USA
376,2015-07-23,Resort Hotel,CHE
377,2015-07-23,Resort Hotel,IRL
378,2015-07-23,Resort Hotel,ESP
379,2015-07-23,Resort Hotel,GBR
380,2015-07-23,City Hotel,PRT
381,2015-07-23,Resort Hotel,PRT
382,2015-07-23,Resort Hotel,DNK
383,2015-07-24,Resort Hotel,ITA
384,2015-07-24,Resort Hotel,POL
385,2015-07-24,Resort Hotel,NLD
386,2015-07-24,Resort Hotel,NOR
387,2015-07-24,Resort Hotel,SWE
388,2015-07-24,Resort Hotel,CN
389,2015-07-24,Resort Hotel,CHE
390,2015-07-24,Resort Hotel,DEU
391,2015-07-24,Resort Hotel,GBR
392,2015-07-24,Resort Hotel,IRL
393,2015-07-24,Resort Hotel,ESP
394,2015-07-24,Resort Hotel,BRA
395,2015-07-24,Resort Hotel,LUX
396,2015-07-24,Resort Hotel,PRT
397,2015-07-24,City Hotel,PRT
398,2015-07-25,Resort Hotel,CHE
399,2015-07-25,Resort Hotel,IRL
400,2015-07-25,Resort Hotel,ITA
401,2015-07-25,Resort Hotel,FRA
402,2015-07-25,Resort Hotel,BRA
403,2015-07-25,City Hotel,PRT
404,2015-07-25,Resort Hotel,PRT
405,2015-07-25,Resort Hotel,ESP
406,2015-07-26,Resort Hotel,RUS
407,2015-07-26,Resort Hotel,BRA
408,2015-07-26,Resort Hotel,FRA
409,2015-07-26,City Hotel,BRA
410,2015-07-26,City Hotel,PRT
411,2015-07-26,Resort Hotel,FIN
412,2015-07-26,Resort Hotel,GBR
413,2015-07-26,Resort Hotel,IRL
414,2015-07-26,Resort Hotel,ESP
415,2015-07-26,Resort Hotel,PRT
416,2015-07-27,Resort Hotel,RUS
417,2015-07-27,Resort Hotel,IDN
418,2015-07-27,Resort Hotel,IRL
419,2015-07-27,City Hotel,PRT
420,2015-07-27,Resort Hotel,CHE
421,2015-07-27,Resort Hotel,PRT
422,2015-07-27,Resort Hotel,ESP
423,2015-07-27,Resort Hotel,GBR
424,2015-07-28,Resort Hotel,CN
425,2015-07-28,Resort Hotel,ITA
426,2015-07-28,Resort Hotel,ESP
427,2015-07-28,Resort Hotel,CHE
428,2015-07-28,Resort Hotel,ROU
429,2015-07-28,Resort Hotel,IRL
430,2015-07-28,Resort Hotel,GBR
431,2015-07-28,Resort Hotel,RUS
432,2015-07-28,Resort Hotel,SWE
433,2015-07-28,Resort Hotel,ALB
434,2015-07-28,City Hotel,PRT
435,2015-07-28,City Hotel,ITA
436,2015-07-28,Resort Hotel,SVN
437,2015-07-28,Resort Hotel,PRT
438,2015-07-29,Resort Hotel,NLD
439,2015-07-29,Resort Hotel,USA
440,2015-07-29,Resort Hotel,GBR
441,2015-07-29,Resort Hotel,ROU
442,2015-07-29,Resort Hotel,IRL
443,2015-07-29,Resort Hotel,CN
444,2015-07-29,City Hotel,PRT
445,2015-07-29,Resort Hotel,PRT
446,2015-07-29,City Hotel,ESP
447,2015-07-29,City Hotel,ITA
448,2015-07-29,Resort Hotel,ESP
449,2015-07-30,Resort Hotel,ESP
450,2015-07-30,Resort Hotel,USA
451,2015-07-30,Resort Hotel,SWE
452,2015-07-30,Resort Hotel,NOR
453,2015-07-30,Resort Hotel,IRL
454,2015-07-30,Resort Hotel,GBR
455,2015-07-30,City Hotel,DEU
456,2015-07-30,Resort Hotel,PRT
457,2015-07-30,City Hotel,FRA
458,2015-07-30,City Hotel,PRT
459,2015-07-30,City Hotel,NLD
460,2015-07-30,City Hotel,ITA
461,2015-07-30,Resort Hotel,
462,2015-07-31,City Hotel,ROU
463,2015-07-31,Resort Hotel,ISR
464,2015-07-31,Resort Hotel,CHE
465,2015-07-31,Resort Hotel,NLD
466,2015-07-31,Resort Hotel,BEL
467,2015-07-31,Resort Hotel,GBR
468,2015-07-31,Resort Hotel,DEU
469,2015-07-31,City Hotel,DEU
470,2015-07-31,Resort Hotel,PRT
471,2015-07-31,Resort Hotel,ESP
472,2015-07-31,City Hotel,PRT
473,2015-07-31,Resort Hotel,IRL
474,2015-07-31,Resort Hotel,ROU
475,2015-08-01,Resort Hotel,NLD
476,2015-08-01,City Hotel,BRA
477,2015-08-01,Resort Hotel,GBR
478,2015-08-01,Resort Hotel,CHN
479,2015-08-01,Resort Hotel,IRL
480,2015-08-01,City Hotel,ITA
481,2015-08-01,Resort Hotel,ESP
482,2015-08-01,Resort Hotel,PRT
483,2015-08-01,Resort Hotel,FRA
484,2015-08-01,City Hotel,PRT
485,2015-08-01,Resort Hotel,RUS
486,2015-08-02,Resort Hotel,AUT
487,2015-08-02,Resort Hotel,MAR
488,2015-08-02,City Hotel,DEU
489,2015-08-02,Resort Hotel,IRL
490,2015-08-02,Resort Hotel,HRV
491,2015-08-02,City Hotel,PRT
492,2015-08-02,Resort Hotel,
493,2015-08-02,Resort Hotel,GBR
494,2015-08-02,Resort Hotel,BRA
495,2015-08-02,Resort Hotel,NOR
496,2015-08-02,Resort Hotel,CHE
497,2015-08-02,Resort Hotel,PRT
498,2015-08-02,Resort Hotel,CHN
499,2015-08-02,Resort Hotel,ESP
500,2015-08-03,Resort Hotel,LUX
501,2015-08-03,City Hotel,GBR
502,2015-08-03,City Hotel,DEU
503,2015-08-03,Resort Hotel,BRA
504,2015-08-03,Resort Hotel,BEL
505,2015-08-03,Resort Hotel,ESP
506,2015-08-03,Resort Hotel,NOR
507,2015-08-03,City Hotel,AGO
508,2015-08-03,Resort Hotel,GBR
509,2015-08-03,City Hotel,PRT
510,2015-08-03,Resort Hotel,PRT
511,2015-08-03,Resort Hotel,IRL
512,2015-08-04,Resort Hotel,CHE
513,2015-08-04,City Hotel,BEL
514,2015-08-04,City Hotel,ITA
515,2015-08-04,City Hotel,RUS
516,2015-08-04,Resort Hotel,CN
517,2015-08-04,Resort Hotel,FRA
518,2015-08-04,City Hotel,DEU
519,2015-08-04,Resort Hotel,ESP
520,2015-08-04,Resort Hotel,GBR
521,2015-08-04,Resort Hotel,PRT
522,2015-08-04,Resort Hotel,IRL
523,2015-08-04,City Hotel,PRT
524,2015-08-05,City Hotel,GBR
525,2015-08-05,Resort Hotel,ITA
526,2015-08-05,Resort Hotel,CN
527,2015-08-05,Resort Hotel,ESP
528,2015-08-05,City Hotel,FRA
529,2015-08-05,City Hotel,BEL
530,2015-08-05,City Hotel,SWE
531,2015-08-05,Resort Hotel,NLD
532,2015-08-05,Resort Hotel,GBR
533,2015-08-05,Resort Hotel,PRT
534,2015-08-05,Resort Hotel,IRL
535,2015-08-05,City Hotel,PRT
536,2015-08-06,City Hotel,CHE
537,2015-08-06,Resort Hotel,SWE
538,2015-08-06,Resort Hotel,GBR
539,2015-08-06,Resort Hotel,FRA
540,2015-08-06,City Hotel,ITA
541,2015-08-06,Resort Hotel,ESP
542,2015-08-06,Resort Hotel,BEL
543,2015-08-06,City Hotel,POL
544,2015-08-06,City Hotel,AUT
545,2015-08-06,City Hotel,AGO
546,2015-08-06,Resort Hotel,IRL
547,2015-08-06,City Hotel,BEL
548,2015-08-06,City Hotel,GBR
549,2015-08-06,Resort Hotel,PRT
550,2015-08-06,City Hotel,PRT
551,2015-08-06,City Hotel,FRA
552,2015-08-07,City Hotel,ITA
553,2015-08-07,Resort Hotel,GBR
554,2015-08-07,Resort Hotel,ESP
555,2015-08-07,Resort Hotel,FRA
556,2015-08-07,Resort Hotel,LUX
557,2015-08-07,Resort Hotel,USA
558,2015-08-07,City Hotel,POL
559,2015-08-07,City Hotel,FRA
560,2015-08-07,City Hotel,USA
561,2015-08-07,City Hotel,CHN
562,2015-08-07,City Hotel,PRT
563,2015-08-07,City Hotel,ESP
564,2015-08-07,Resort Hotel,IRL
565,2015-08-07,City Hotel,ISR
566,2015-08-07,City Hotel,DEU
567,2015-08-07,Resort Hotel,PRT
568,2015-08-07,City Hotel,BGR
569,2015-08-08,Resort Hotel,CHE
570,2015-08-08,Resort Hotel,ESP
571,2015-08-08,Resort Hotel,GBR
572,2015-08-08,City Hotel,ESP
573,2015-08-08,City Hotel,IRL
574,2015-08-08,Resort Hotel,NLD
575,2015-08-08,Resort Hotel,IRL
576,2015-08-08,Resort Hotel,FRA
577,2015-08-08,Resort Hotel,PRT
578,2015-08-08,City Hotel,ITA
579,2015-08-08,City Hotel,PRT
580,2015-08-08,City Hotel,FRA
581,2015-08-08,City Hotel,RUS
582,2015-08-09,Resort Hotel,FRA
583,2015-08-09,City Hotel,ITA
584,2015-08-09,Resort Hotel,IND
585,2015-08-09,Resort Hotel,
586,2015-08-09,City Hotel,CHE
587,2015-08-09,City Hotel,POL
588,2015-08-09,Resort Hotel,CHN
589,2015-08-09,City Hotel,FRA
590,2015-08-09,Resort Hotel,GBR
591,2015-08-09,Resort Hotel,PRT
592,2015-08-09,Resort Hotel,ESP
593,2015-08-09,City Hotel,PRT
594,2015-08-09,City Hotel,ESP
595,2015-08-10,Resort Hotel,NOR
596,2015-08-10,Resort Hotel,BEL
597,2015-08-10,Resort Hotel,NLD
598,2015-08-10,City Hotel,RUS
599,2015-08-10,Resort Hotel,USA
600,2015-08-10,City Hotel,FRA
601,2015-08-10,City Hotel,NOR
602,2015-08-10,Resort Hotel,ESP
603,2015-08-10,Resort Hotel,CHE
604,2015-08-10,Resort Hotel,IRL
605,2015-08-10,Resort Hotel,GBR
606,2015-08-10,City Hotel,PRT
607,2015-08-10,Resort Hotel,PRT
608,2015-08-10,City Hotel,BRA
609,2015-08-11,Resort Hotel,USA
610,2015-08-11,City Hotel,ITA
611,2015-08-11,Resort Hotel,FRA
612,2015-08-11,City Hotel,DEU
613,2015-08-11,Resort Hotel,CHE
614,2015-08-11,Resort Hotel,ROU
615,2015-08-11,Resort Hotel,IRL
616,2015-08-11,Resort Hotel,ESP
617,2015-08-11,City Hotel,BRA
618,2015-08-11,Resort Hotel,GBR
619,2015-08-11,City Hotel,USA
620,2015-08-11,Resort Hotel,PRT
621,2015-08-11,City Hotel,PRT
622,2015-08-11,City Hotel,CHE
623,2015-08-11,City Hotel,FRA
624,2015-08-11,City Hotel,ESP
625,2015-08-11,City Hotel,DZA
626,2015-08-12,City Hotel,SWE
627,2015-08-12,City Hotel,DEU
628,2015-08-12,City Hotel,MOZ
629,2015-08-12,Resort Hotel,POL
630,2015-08-12,City Hotel,POL
631,2015-08-12,City Hotel,NOR
632,2015-08-12,Resort Hotel,GBR
633,2015-08-12,City Hotel,ITA
634,2015-08-12,City Hotel,MAR
635,2015-08-12,Resort Hotel,IRL
636,2015-08-12,City Hotel,GRC
637,2015-08-12,Resort Hotel,ESP
638,2015-08-12,Resort Hotel,ROU
639,2015-08-12,Resort Hotel,FRA
640,2015-08-12,Resort Hotel,PRT
641,2015-08-12,City Hotel,FRA
642,2015-08-12,City Hotel,PRT
643,2015-08-12,City Hotel,ESP
644,2015-08-13,City Hotel,BRA
645,2015-08-13,City Hotel,GBR
646,2015-08-13,Resort Hotel,DNK
647,2015-08-13,City Hotel,ESP
648,2015-08-13,City Hotel,MEX
649,2015-08-13,City Hotel,BEL
650,2015-08-13,City Hotel,CHE
651,2015-08-13,City Hotel,DEU
652,2015-08-13,City Hotel,ITA
653,2015-08-13,City Hotel,DNK
654,2015-08-13,Resort Hotel,CN
655,2015-08-13,City Hotel,AGO
656,2015-08-13,Resort Hotel,USA
657,2015-08-13,Resort Hotel,RUS
658,2015-08-13,City Hotel,NLD
659,2015-08-13,Resort Hotel,PRT
660,2015-08-13,City Hotel,FRA
661,2015-08-13,City Hotel,PRT
662,2015-08-13,Resort Hotel,FRA
663,2015-08-13,Resort Hotel,GBR
664,2015-08-13,Resort Hotel,IRL
665,2015-08-13,Resort Hotel,ESP
666,2015-08-13,Resort Hotel,CHE
667,2015-08-14,City Hotel,DZA
668,2015-08-14,Resort Hotel,IRL
669,2015-08-14,City Hotel,AGO
670,2015-08-14,City Hotel,DEU
671,2015-08-14,Resort Hotel,AUT
672,2015-08-14,Resort Hotel,GBR
673,2015-08-14,Resort Hotel,NLD
674,2015-08-14,City Hotel,ESP
675,2015-08-14,Resort Hotel,CN
676,2015-08-14,Resort Hotel,ESP
677,2015-08-14,Resort Hotel,
678,2015-08-14,City Hotel,GBR
679,2015-08-14,Resort Hotel,PRT
680,2015-08-14,City Hotel,BRA
681,2015-08-14,City Hotel,PRT
682,2015-08-14,City Hotel,FRA
683,2015-08-14,Resort Hotel,RUS
684,2015-08-14,City Hotel,AUS
685,2015-08-14,Resort Hotel,FRA
686,2015-08-15,Resort Hotel,CHN
687,2015-08-15,City Hotel,ITA
688,2015-08-15,City Hotel,DEU
