DateKey,reservation_status_date,arrival_date_month,Day,Week,Month,Quarter,Year
51,2015-03-12,August,12,11,3,1,2015
52,2015-03-13,July,13,11,3,1,2015
53,2015-03-17,July,17,12,3,1,2015
54,2015-03-18,July,18,12,3,1,2015
55,2015-03-23,August,23,13,3,1,2015
56,2015-03-24,July,24,13,3,1,2015
57,2015-03-24,August,24,13,3,1,2015
58,2015-03-25,October,25,13,3,1,2015
59,2015-03-25,July,25,13,3,1,2015
60,2015-03-25,September,25,13,3,1,2015
61,2015-03-28,August,28,13,3,1,2015
62,2015-03-29,September,29,13,3,1,2015
63,2015-03-30,July,30,14,3,1,2015
64,2015-03-31,July,31,14,3,1,2015
65,2015-03-31,August,31,14,3,1,2015
66,2015-04-02,August,2,14,4,2,2015
67,2015-04-02,September,2,14,4,2,2015
68,2015-04-02,July,2,14,4,2,2015
69,2015-04-03,July,3,14,4,2,2015
70,2015-04-04,September,4,14,4,2,2015
71,2015-04-04,July,4,14,4,2,2015
72,2015-04-04,December,4,14,4,2,2015
73,2015-04-04,August,4,14,4,2,2015
74,2015-04-05,August,5,14,4,2,2015
75,2015-04-05,July,5,14,4,2,2015
76,2015-04-06,August,6,15,4,2,2015
77,2015-04-06,July,6,15,4,2,2015
78,2015-04-07,September,7,15,4,2,2015
79,2015-04-08,September,8,15,4,2,2015
80,2015-04-08,July,8,15,4,2,2015
81,2015-04-10,October,10,15,4,2,2015
82,2015-04-10,July,10,15,4,2,2015
83,2015-04-10,September,10,15,4,2,2015
84,2015-04-10,August,10,15,4,2,2015
85,2015-04-11,July,11,15,4,2,2015
86,2015-04-13,July,13,16,4,2,2015
87,2015-04-13,August,13,16,4,2,2015
88,2015-04-14,August,14,16,4,2,2015
89,2015-04-14,July,14,16,4,2,2015
90,2015-04-15,August,15,16,4,2,2015
91,2015-04-15,November,15,16,4,2,2015
92,2015-04-15,July,15,16,4,2,2015
93,2015-04-16,July,16,16,4,2,2015
94,2015-04-16,September,16,16,4,2,2015
95,2015-04-16,August,16,16,4,2,2015
96,2015-04-17,July,17,16,4,2,2015
97,2015-04-18,September,18,16,4,2,2015
98,2015-04-20,August,20,17,4,2,2015
99,2015-04-20,July,20,17,4,2,2015
100,2015-04-20,September,20,17,4,2,2015
101,2015-04-21,July,21,17,4,2,2015
102,2015-04-22,July,22,17,4,2,2015
103,2015-04-22,September,22,17,4,2,2015
104,2015-04-22,August,22,17,4,2,2015
105,2015-04-23,August,23,17,4,2,2015
106,2015-04-23,July,23,17,4,2,2015
107,2015-04-24,July,24,17,4,2,2015
108,2015-04-25,August,25,17,4,2,2015
109,2015-04-27,October,27,18,4,2,2015
110,2015-04-28,July,28,18,4,2,2015
111,2015-04-29,September,29,18,4,2,2015
112,2015-04-29,July,29,18,4,2,2015
113,2015-04-29,August,29,18,4,2,2015
114,2015-04-30,July,30,18,4,2,2015
115,2015-05-01,July,1,18,5,2,2015
116,2015-05-01,September,1,18,5,2,2015
117,2015-05-01,August,1,18,5,2,2015
118,2015-05-04,August,4,19,5,2,2015
119,2015-05-05,August,5,19,5,2,2015
120,2015-05-05,July,5,19,5,2,2015
121,2015-05-06,August,6,19,5,2,2015
122,2015-05-06,July,6,19,5,2,2015
123,2015-05-06,September,6,19,5,2,2015
124,2015-05-07,August,7,19,5,2,2015
125,2015-05-07,July,7,19,5,2,2015
126,2015-05-08,September,8,19,5,2,2015
127,2015-05-08,July,8,19,5,2,2015
128,2015-05-09,July,9,19,5,2,2015
129,2015-05-09,September,9,19,5,2,2015
130,2015-05-09,August,9,19,5,2,2015
131,2015-05-11,July,11,20,5,2,2015
132,2015-05-11,September,11,20,5,2,2015
133,2015-05-12,September,12,20,5,2,2015
134,2015-05-12,November,12,20,5,2,2015
135,2015-05-12,December,12,20,5,2,2015
136,2015-05-12,July,12,20,5,2,2015
137,2015-05-12,August,12,20,5,2,2015
138,2015-05-13,July,13,20,5,2,2015
139,2015-05-13,August,13,20,5,2,2015
140,2015-05-13,September,13,20,5,2,2015
141,2015-05-14,September,14,20,5,2,2015
142,2015-05-14,August,14,20,5,2,2015
143,2015-05-14,July,14,20,5,2,2015
144,2015-05-15,July,15,20,5,2,2015
145,2015-05-16,September,16,20,5,2,2015
146,2015-05-16,August,16,20,5,2,2015
147,2015-05-16,July,16,20,5,2,2015
148,2015-05-18,August,18,21,5,2,2015
149,2015-05-18,October,18,21,5,2,2015
150,2015-05-18,July,18,21,5,2,2015
151,2015-05-19,July,19,21,5,2,2015
152,2015-05-19,August,19,21,5,2,2015
153,2015-05-19,September,19,21,5,2,2015
154,2015-05-20,August,20,21,5,2,2015
155,2015-05-20,October,20,21,5,2,2015
156,2015-05-20,September,20,21,5,2,2015
157,2015-05-20,July,20,21,5,2,2015
158,2015-05-21,August,21,21,5,2,2015
159,2015-05-21,September,21,21,5,2,2015
160,2015-05-22,August,22,21,5,2,2015
161,2015-05-22,July,22,21,5,2,2015
162,2015-05-22,September,22,21,5,2,2015
163,2015-05-23,August,23,21,5,2,2015
164,2015-05-23,September,23,21,5,2,2015
165,2015-05-23,July,23,21,5,2,2015
166,2015-05-25,August,25,22,5,2,2015
167,2015-05-25,July,25,22,5,2,2015
168,2015-05-25,September,25,22,5,2,2015
169,2015-05-26,July,26,22,5,2,2015
170,2015-05-27,December,27,22,5,2,2015
171,2015-05-27,August,27,22,5,2,2015
172,2015-05-27,July,27,22,5,2,2015
173,2015-05-27,September,27,22,5,2,2015
174,2015-05-28,August,28,22,5,2,2015
175,2015-05-28,July,28,22,5,2,2015
176,2015-05-28,September,28,22,5,2,2015
177,2015-05-29,July,29,22,5,2,2015
178,2015-05-29,October,29,22,5,2,2015
179,2015-05-29,August,29,22,5,2,2015
180,2015-05-29,September,29,22,5,2,2015
181,2015-05-30,August,30,22,5,2,2015
182,2015-06-01,August,1,23,6,2,2015
183,2015-06-01,July,1,23,6,2,2015
184,2015-06-02,December,2,23,6,2,2015
185,2015-06-02,September,2,23,6,2,2015
186,2015-06-02,August,2,23,6,2,2015
187,2015-06-02,July,2,23,6,2,2015
188,2015-06-03,August,3,23,6,2,2015
189,2015-06-03,July,3,23,6,2,2015
190,2015-06-04,July,4,23,6,2,2015
191,2015-06-04,September,4,23,6,2,2015
192,2015-06-04,August,4,23,6,2,2015
193,2015-06-05,September,5,23,6,2,2015
194,2015-06-05,July,5,23,6,2,2015
195,2015-06-05,August,5,23,6,2,2015
196,2015-06-06,August,6,23,6,2,2015
197,2015-06-06,September,6,23,6,2,2015
198,2015-06-08,August,8,24,6,2,2015
199,2015-06-08,July,8,24,6,2,2015
200,2015-06-08,September,8,24,6,2,2015
201,2015-06-09,September,9,24,6,2,2015
202,2015-06-09,October,9,24,6,2,2015
203,2015-06-09,July,9,24,6,2,2015
204,2015-06-10,September,10,24,6,2,2015
205,2015-06-10,July,10,24,6,2,2015
206,2015-06-11,October,11,24,6,2,2015
207,2015-06-11,August,11,24,6,2,2015
208,2015-06-11,July,11,24,6,2,2015
209,2015-06-11,September,11,24,6,2,2015
210,2015-06-12,August,12,24,6,2,2015
211,2015-06-12,July,12,24,6,2,2015
212,2015-06-13,July,13,24,6,2,2015
213,2015-06-13,August,13,24,6,2,2015
214,2015-06-13,September,13,24,6,2,2015
215,2015-06-14,July,14,24,6,2,2015
216,2015-06-15,July,15,25,6,2,2015
217,2015-06-15,October,15,25,6,2,2015
218,2015-06-15,August,15,25,6,2,2015
219,2015-06-15,September,15,25,6,2,2015
220,2015-06-16,July,16,25,6,2,2015
221,2015-06-16,August,16,25,6,2,2015
222,2015-06-17,October,17,25,6,2,2015
223,2015-06-17,September,17,25,6,2,2015
224,2015-06-17,July,17,25,6,2,2015
225,2015-06-17,August,17,25,6,2,2015
226,2015-06-18,July,18,25,6,2,2015
227,2015-06-18,August,18,25,6,2,2015
228,2015-06-19,July,19,25,6,2,2015
229,2015-06-19,August,19,25,6,2,2015
230,2015-06-19,September,19,25,6,2,2015
231,2015-06-20,August,20,25,6,2,2015
232,2015-06-20,July,20,25,6,2,2015
233,2015-06-22,October,22,26,6,2,2015
234,2015-06-22,July,22,26,6,2,2015
235,2015-06-22,August,22,26,6,2,2015
236,2015-06-23,August,23,26,6,2,2015
237,2015-06-23,July,23,26,6,2,2015
238,2015-06-23,September,23,26,6,2,2015
239,2015-06-23,October,23,26,6,2,2015
240,2015-06-24,July,24,26,6,2,2015
241,2015-06-24,August,24,26,6,2,2015
242,2015-06-25,September,25,26,6,2,2015
243,2015-06-25,August,25,26,6,2,2015
244,2015-06-25,October,25,26,6,2,2015
245,2015-06-25,July,25,26,6,2,2015
246,2015-06-26,October,26,26,6,2,2015
247,2015-06-26,January,26,26,6,2,2015
248,2015-06-26,August,26,26,6,2,2015
249,2015-06-26,July,26,26,6,2,2015
250,2015-06-26,September,26,26,6,2,2015
251,2015-06-27,September,27,26,6,2,2015
252,2015-06-27,August,27,26,6,2,2015
253,2015-06-27,July,27,26,6,2,2015
254,2015-06-29,July,29,27,6,2,2015
255,2015-06-29,September,29,27,6,2,2015
256,2015-06-29,August,29,27,6,2,2015
257,2015-06-29,October,29,27,6,2,2015
258,2015-06-30,July,30,27,6,2,2015
259,2015-06-30,September,30,27,6,2,2015
260,2015-06-30,August,30,27,6,2,2015
261,2015-06-30,October,30,27,6,2,2015
262,2015-07-01,September,1,27,7,3,2015
263,2015-07-01,July,1,27,7,3,2015
264,2015-07-01,August,1,27,7,3,2015
265,2015-07-02,August,2,27,7,3,2015
266,2015-07-02,July,2,27,7,3,2015
267,2015-07-02,September,2,27,7,3,2015
268,2015-07-02,October,2,27,7,3,2015
269,2015-07-03,August,3,27,7,3,2015
270,2015-07-03,September,3,27,7,3,2015
271,2015-07-03,October,3,27,7,3,2015
272,2015-07-03,July,3,27,7,3,2015
273,2015-07-04,July,4,27,7,3,2015
274,2015-07-04,August,4,27,7,3,2015
275,2015-07-04,December,4,27,7,3,2015
276,2015-07-05,July,5,27,7,3,2015
277,2015-07-06,October,6,28,7,3,2015
278,2015-07-06,August,6,28,7,3,2015
279,2015-07-06,September,6,28,7,3,2015
280,2015-07-06,July,6,28,7,3,2015
281,2015-07-07,July,7,28,7,3,2015
282,2015-07-07,August,7,28,7,3,2015
283,2015-07-07,October,7,28,7,3,2015
284,2015-07-08,July,8,28,7,3,2015
285,2015-07-08,August,8,28,7,3,2015
286,2015-07-08,September,8,28,7,3,2015
287,2015-07-08,October,8,28,7,3,2015
288,2015-07-09,September,9,28,7,3,2015
289,2015-07-09,October,9,28,7,3,2015
290,2015-07-09,August,9,28,7,3,2015
291,2015-07-09,July,9,28,7,3,2015
292,2015-07-10,July,10,28,7,3,2015
293,2015-07-10,November,10,28,7,3,2015
294,2015-07-10,August,10,28,7,3,2015
295,2015-07-10,October,10,28,7,3,2015
296,2015-07-11,July,11,28,7,3,2015
297,2015-07-11,November,11,28,7,3,2015
298,2015-07-11,September,11,28,7,3,2015
299,2015-07-12,July,12,28,7,3,2015
300,2015-07-13,July,13,29,7,3,2015
301,2015-07-13,August,13,29,7,3,2015
302,2015-07-13,September,13,29,7,3,2015
303,2015-07-14,September,14,29,7,3,2015
304,2015-07-14,July,14,29,7,3,2015
305,2015-07-14,August,14,29,7,3,2015
306,2015-07-15,July,15,29,7,3,2015
307,2015-07-15,September,15,29,7,3,2015
308,2015-07-15,August,15,29,7,3,2015
309,2015-07-16,September,16,29,7,3,2015
310,2015-07-16,August,16,29,7,3,2015
311,2015-07-16,July,16,29,7,3,2015
312,2015-07-17,October,17,29,7,3,2015
313,2015-07-17,September,17,29,7,3,2015
314,2015-07-17,July,17,29,7,3,2015
315,2015-07-17,August,17,29,7,3,2015
316,2015-07-18,July,18,29,7,3,2015
317,2015-07-18,August,18,29,7,3,2015
318,2015-07-18,September,18,29,7,3,2015
319,2015-07-19,July,19,29,7,3,2015
320,2015-07-20,July,20,30,7,3,2015
321,2015-07-20,September,20,30,7,3,2015
322,2015-07-20,August,20,30,7,3,2015
323,2015-07-20,October,20,30,7,3,2015
324,2015-07-21,August,21,30,7,3,2015
325,2015-07-21,July,21,30,7,3,2015
326,2015-07-21,September,21,30,7,3,2015
327,2015-07-21,October,21,30,7,3,2015
328,2015-07-22,August,22,30,7,3,2015
329,2015-07-22,October,22,30,7,3,2015
330,2015-07-22,July,22,30,7,3,2015
331,2015-07-22,September,22,30,7,3,2015
332,2015-07-23,August,23,30,7,3,2015
333,2015-07-23,September,23,30,7,3,2015
334,2015-07-23,July,23,30,7,3,2015
335,2015-07-23,November,23,30,7,3,2015
336,2015-07-23,December,23,30,7,3,2015
337,2015-07-23,October,23,30,7,3,2015
338,2015-07-24,September,24,30,7,3,2015
339,2015-07-24,August,24,30,7,3,2015
340,2015-07-24,July,24,30,7,3,2015
341,2015-07-25,September,25,30,7,3,2015
342,2015-07-25,July,25,30,7,3,2015
343,2015-07-25,August,25,30,7,3,2015
344,2015-07-26,July,26,30,7,3,2015
345,2015-07-27,October,27,31,7,3,2015
346,2015-07-27,July,27,31,7,3,2015
347,2015-07-27,August,27,31,7,3,2015
348,2015-07-27,September,27,31,7,3,2015
349,2015-07-28,August,28,31,7,3,2015
350,2015-07-28,September,28,31,7,3,2015
351,2015-07-28,January,28,31,7,3,2015
352,2015-07-28,July,28,31,7,3,2015
353,2015-07-29,July,29,31,7,3,2015
354,2015-07-29,August,29,31,7,3,2015
355,2015-07-29,September,29,31,7,3,2015
356,2015-07-29,November,29,31,7,3,2015
357,2015-07-30,May,30,31,7,3,2015
358,2015-07-30,April,30,31,7,3,2015
359,2015-07-30,December,30,31,7,3,2015
360,2015-07-30,August,30,31,7,3,2015
361,2015-07-30,July,30,31,7,3,2015
362,2015-07-31,August,31,31,7,3,2015
363,2015-07-31,July,31,31,7,3,2015
364,2015-07-31,September,31,31,7,3,2015
365,2015-07-31,October,31,31,7,3,2015
366,2015-08-01,July,1,31,8,3,2015
367,2015-08-01,August,1,31,8,3,2015
368,2015-08-01,September,1,31,8,3,2015
369,2015-08-02,August,2,31,8,3,2015
370,2015-08-02,July,2,31,8,3,2015
371,2015-08-03,August,3,32,8,3,2015
372,2015-08-03,July,3,32,8,3,2015
373,2015-08-03,October,3,32,8,3,2015
374,2015-08-04,October,4,32,8,3,2015
375,2015-08-04,July,4,32,8,3,2015
376,2015-08-04,August,4,32,8,3,2015
377,2015-08-04,September,4,32,8,3,2015
378,2015-08-04,April,4,32,8,3,2015
379,2015-08-05,December,5,32,8,3,2015
380,2015-08-05,September,5,32,8,3,2015
381,2015-08-05,August,5,32,8,3,2015
382,2015-08-05,July,5,32,8,3,2015
383,2015-08-06,July,6,32,8,3,2015
384,2015-08-06,October,6,32,8,3,2015
385,2015-08-06,August,6,32,8,3,2015
386,2015-08-06,September,6,32,8,3,2015
387,2015-08-07,July,7,32,8,3,2015
388,2015-08-07,September,7,32,8,3,2015
389,2015-08-07,August,7,32,8,3,2015
390,2015-08-08,July,8,32,8,3,2015
391,2015-08-08,September,8,32,8,3,2015
392,2015-08-08,August,8,32,8,3,2015
393,2015-08-09,August,9,32,8,3,2015
394,2015-08-09,July,9,32,8,3,2015
395,2015-08-10,August,10,33,8,3,2015
396,2015-08-10,January,10,33,8,3,2015
397,2015-08-10,September,10,33,8,3,2015
398,2015-08-10,March,10,33,8,3,2015
399,2015-08-10,July,10,33,8,3,2015
400,2015-08-11,September,11,33,8,3,2015
401,2015-08-11,November,11,33,8,3,2015
402,2015-08-11,October,11,33,8,3,2015
403,2015-08-11,June,11,33,8,3,2015
404,2015-08-11,August,11,33,8,3,2015
405,2015-08-12,August,12,33,8,3,2015
406,2015-08-12,October,12,33,8,3,2015
407,2015-08-12,September,12,33,8,3,2015
408,2015-08-13,August,13,33,8,3,2015
409,2015-08-13,September,13,33,8,3,2015
410,2015-08-13,July,13,33,8,3,2015
411,2015-08-14,October,14,33,8,3,2015
412,2015-08-14,September,14,33,8,3,2015
413,2015-08-14,August,14,33,8,3,2015
414,2015-08-14,July,14,33,8,3,2015
415,2015-08-15,August,15,33,8,3,2015
416,2015-08-15,March,15,33,8,3,2015
417,2015-08-15,September,15,33,8,3,2015
418,2015-08-16,August,16,33,8,3,2015
419,2015-08-17,December,17,34,8,3,2015
420,2015-08-17,August,17,34,8,3,2015
421,2015-08-17,September,17,34,8,3,2015
422,2015-08-17,February,17,34,8,3,2015
423,2015-08-17,October,17,34,8,3,2015
424,2015-08-18,September,18,34,8,3,2015
425,2015-08-18,August,18,34,8,3,2015
426,2015-08-18,October,18,34,8,3,2015
427,2015-08-19,August,19,34,8,3,2015
428,2015-08-19,September,19,34,8,3,2015
429,2015-08-20,December,20,34,8,3,2015
430,2015-08-20,October,20,34,8,3,2015
431,2015-08-20,September,20,34,8,3,2015
432,2015-08-20,August,20,34,8,3,2015
433,2015-08-21,August,21,34,8,3,2015
434,2015-08-21,September,21,34,8,3,2015
435,2015-08-21,October,21,34,8,3,2015
436,2015-08-22,August,22,34,8,3,2015
437,2015-08-22,September,22,34,8,3,2015
438,2015-08-22,June,22,34,8,3,2015
439,2015-08-22,October,22,34,8,3,2015
440,2015-08-23,August,23,34,8,3,2015
441,2015-08-24,August,24,35,8,3,2015
442,2015-08-24,September,24,35,8,3,2015
443,2015-08-24,December,24,35,8,3,2015
444,2015-08-24,March,24,35,8,3,2015
445,2015-08-25,September,25,35,8,3,2015
446,2015-08-25,October,25,35,8,3,2015
447,2015-08-25,August,25,35,8,3,2015
448,2015-08-26,September,26,35,8,3,2015
449,2015-08-26,October,26,35,8,3,2015
450,2015-08-26,August,26,35,8,3,2015
451,2015-08-27,August,27,35,8,3,2015
452,2015-08-27,September,27,35,8,3,2015
453,2015-08-27,October,27,35,8,3,2015
454,2015-08-28,October,28,35,8,3,2015
455,2015-08-28,August,28,35,8,3,2015
456,2015-08-28,September,28,35,8,3,2015
457,2015-08-29,September,29,35,8,3,2015
458,2015-08-29,August,29,35,8,3,2015
459,2015-08-29,October,29,35,8,3,2015
460,2015-08-29,November,29,35,8,3,2015
461,2015-08-30,August,30,35,8,3,2015
462,2015-08-31,March,31,36,8,3,2015
463,2015-08-31,October,31,36,8,3,2015
464,2015-08-31,June,31,36,8,3,2015
465,2015-08-31,August,31,36,8,3,2015
466,2015-08-31,December,31,36,8,3,2015
467,2015-08-31,September,31,36,8,3,2015
468,2015-08-31,November,31,36,8,3,2015
469,2015-09-01,November,1,36,9,3,2015
470,2015-09-01,September,1,36,9,3,2015
471,2015-09-01,March,1,36,9,3,2015
472,2015-09-01,August,1,36,9,3,2015
473,2015-09-01,October,1,36,9,3,2015
474,2015-09-02,August,2,36,9,3,2015
475,2015-09-02,September,2,36,9,3,2015
476,2015-09-02,October,2,36,9,3,2015
477,2015-09-02,November,2,36,9,3,2015
478,2015-09-03,August,3,36,9,3,2015
479,2015-09-03,September,3,36,9,3,2015
480,2015-09-03,October,3,36,9,3,2015
481,2015-09-04,November,4,36,9,3,2015
482,2015-09-04,January,4,36,9,3,2015
483,2015-09-04,December,4,36,9,3,2015
484,2015-09-04,October,4,36,9,3,2015
485,2015-09-04,August,4,36,9,3,2015
486,2015-09-04,September,4,36,9,3,2015
487,2015-09-04,March,4,36,9,3,2015
488,2015-09-05,November,5,36,9,3,2015
489,2015-09-05,September,5,36,9,3,2015
490,2015-09-05,August,5,36,9,3,2015
491,2015-09-05,January,5,36,9,3,2015
492,2015-09-06,August,6,36,9,3,2015
493,2015-09-06,September,6,36,9,3,2015
494,2015-09-07,September,7,37,9,3,2015
495,2015-09-07,October,7,37,9,3,2015
496,2015-09-07,July,7,37,9,3,2015
497,2015-09-07,December,7,37,9,3,2015
498,2015-09-07,August,7,37,9,3,2015
499,2015-09-08,October,8,37,9,3,2015
500,2015-09-08,November,8,37,9,3,2015
501,2015-09-08,September,8,37,9,3,2015
502,2015-09-08,August,8,37,9,3,2015
503,2015-09-09,September,9,37,9,3,2015
504,2015-09-09,August,9,37,9,3,2015
505,2015-09-09,October,9,37,9,3,2015
506,2015-09-10,September,10,37,9,3,2015
507,2015-09-10,August,10,37,9,3,2015
508,2015-09-10,October,10,37,9,3,2015
509,2015-09-10,December,10,37,9,3,2015
510,2015-09-11,May,11,37,9,3,2015
511,2015-09-11,August,11,37,9,3,2015
512,2015-09-11,October,11,37,9,3,2015
513,2015-09-11,September,11,37,9,3,2015
514,2015-09-12,September,12,37,9,3,2015
515,2015-09-12,October,12,37,9,3,2015
516,2015-09-12,November,12,37,9,3,2015
517,2015-09-12,December,12,37,9,3,2015
518,2015-09-12,January,12,37,9,3,2015
519,2015-09-12,August,12,37,9,3,2015
520,2015-09-12,February,12,37,9,3,2015
521,2015-09-13,August,13,37,9,3,2015
522,2015-09-13,September,13,37,9,3,2015
523,2015-09-14,September,14,38,9,3,2015
524,2015-09-14,October,14,38,9,3,2015
525,2015-09-14,December,14,38,9,3,2015
526,2015-09-14,November,14,38,9,3,2015
527,2015-09-14,January,14,38,9,3,2015
528,2015-09-15,September,15,38,9,3,2015
529,2015-09-15,October,15,38,9,3,2015
530,2015-09-15,November,15,38,9,3,2015
531,2015-09-16,November,16,38,9,3,2015
532,2015-09-16,July,16,38,9,3,2015
533,2015-09-16,October,16,38,9,3,2015
534,2015-09-16,September,16,38,9,3,2015
535,2015-09-16,December,16,38,9,3,2015
536,2015-09-17,June,17,38,9,3,2015
537,2015-09-17,September,17,38,9,3,2015
538,2015-09-17,October,17,38,9,3,2015
539,2015-09-17,December,17,38,9,3,2015
540,2015-09-17,November,17,38,9,3,2015
541,2015-09-18,September,18,38,9,3,2015
542,2015-09-18,October,18,38,9,3,2015
543,2015-09-18,December,18,38,9,3,2015
544,2015-09-18,November,18,38,9,3,2015
545,2015-09-19,September,19,38,9,3,2015
546,2015-09-19,October,19,38,9,3,2015
547,2015-09-20,September,20,38,9,3,2015
548,2015-09-21,December,21,39,9,3,2015
549,2015-09-21,June,21,39,9,3,2015
550,2015-09-21,January,21,39,9,3,2015
551,2015-09-21,October,21,39,9,3,2015
552,2015-09-21,November,21,39,9,3,2015
553,2015-09-21,September,21,39,9,3,2015
554,2015-09-22,October,22,39,9,3,2015
555,2015-09-22,September,22,39,9,3,2015
556,2015-09-22,December,22,39,9,3,2015
557,2015-09-22,June,22,39,9,3,2015
558,2015-09-22,November,22,39,9,3,2015
559,2015-09-22,July,22,39,9,3,2015
560,2015-09-23,November,23,39,9,3,2015
561,2015-09-23,October,23,39,9,3,2015
562,2015-09-23,September,23,39,9,3,2015
563,2015-09-24,September,24,39,9,3,2015
564,2015-09-24,December,24,39,9,3,2015
565,2015-09-24,October,24,39,9,3,2015
566,2015-09-25,September,25,39,9,3,2015
567,2015-09-25,October,25,39,9,3,2015
568,2015-09-25,December,25,39,9,3,2015
569,2015-09-26,September,26,39,9,3,2015
570,2015-09-26,October,26,39,9,3,2015
571,2015-09-27,September,27,39,9,3,2015
572,2015-09-28,September,28,40,9,3,2015
573,2015-09-28,May,28,40,9,3,2015
574,2015-09-28,October,28,40,9,3,2015
575,2015-09-28,November,28,40,9,3,2015
576,2015-09-28,December,28,40,9,3,2015
577,2015-09-29,May,29,40,9,3,2015
578,2015-09-29,November,29,40,9,3,2015
579,2015-09-29,September,29,40,9,3,2015
580,2015-09-29,October,29,40,9,3,2015
581,2015-09-30,September,30,40,9,3,2015
582,2015-09-30,October,30,40,9,3,2015
583,2015-09-30,August,30,40,9,3,2015
584,2015-10-01,September,1,40,10,4,2015
585,2015-10-01,November,1,40,10,4,2015
586,2015-10-01,December,1,40,10,4,2015
587,2015-10-01,October,1,40,10,4,2015
588,2015-10-02,November,2,40,10,4,2015
589,2015-10-02,January,2,40,10,4,2015
590,2015-10-02,December,2,40,10,4,2015
591,2015-10-02,October,2,40,10,4,2015
592,2015-10-02,September,2,40,10,4,2015
593,2015-10-03,October,3,40,10,4,2015
594,2015-10-03,September,3,40,10,4,2015
595,2015-10-03,December,3,40,10,4,2015
596,2015-10-03,March,3,40,10,4,2015
597,2015-10-04,October,4,40,10,4,2015
598,2015-10-04,September,4,40,10,4,2015
599,2015-10-05,January,5,41,10,4,2015
600,2015-10-05,December,5,41,10,4,2015
601,2015-10-05,September,5,41,10,4,2015
602,2015-10-05,October,5,41,10,4,2015
603,2015-10-06,July,6,41,10,4,2015
604,2015-10-06,October,6,41,10,4,2015
605,2015-10-06,August,6,41,10,4,2015
606,2015-10-06,September,6,41,10,4,2015
607,2015-10-06,December,6,41,10,4,2015
608,2015-10-07,April,7,41,10,4,2015
609,2015-10-07,December,7,41,10,4,2015
610,2015-10-07,October,7,41,10,4,2015
611,2015-10-07,September,7,41,10,4,2015
612,2015-10-08,October,8,41,10,4,2015
613,2015-10-08,December,8,41,10,4,2015
614,2015-10-08,September,8,41,10,4,2015
615,2015-10-08,November,8,41,10,4,2015
616,2015-10-09,September,9,41,10,4,2015
617,2015-10-09,October,9,41,10,4,2015
618,2015-10-09,November,9,41,10,4,2015
619,2015-10-10,September,10,41,10,4,2015
620,2015-10-10,November,10,41,10,4,2015
621,2015-10-10,October,10,41,10,4,2015
622,2015-10-11,October,11,41,10,4,2015
623,2015-10-11,September,11,41,10,4,2015
624,2015-10-12,December,12,42,10,4,2015
625,2015-10-12,October,12,42,10,4,2015
626,2015-10-12,November,12,42,10,4,2015
627,2015-10-12,July,12,42,10,4,2015
628,2015-10-12,June,12,42,10,4,2015
629,2015-10-12,September,12,42,10,4,2015
630,2015-10-13,September,13,42,10,4,2015
631,2015-10-13,June,13,42,10,4,2015
632,2015-10-13,October,13,42,10,4,2015
